PLOTID,POINTX,POINTY,LANDCOVER
435,2488766,5723529,Low Producing Grassland
436,2489680,5723546,Indigenous Forest
437,2490594,5723562,High Producing Exotic Grassland
438,2491509,5723579,High Producing Exotic Grassland
439,2492423,5723595,Pine Forest - Open Canopy
440,2493337,5723612,Manuka and or Kanuka
441,2494251,5723628,High Producing Exotic Grassland
442,2495165,5723645,High Producing Exotic Grassland
443,2496079,5723661,High Producing Exotic Grassland
444,2496993,5723678,High Producing Exotic Grassland
445,2497908,5723694,High Producing Exotic Grassland
446,2498822,5723711,High Producing Exotic Grassland
447,2499736,5723727,High Producing Exotic Grassland
448,2500650,5723744,"Afforestation (imaged, post LCDB 1)"
449,2501564,5723760,High Producing Exotic Grassland
450,2502478,5723777,High Producing Exotic Grassland
451,2503393,5723793,High Producing Exotic Grassland
452,2504307,5723810,High Producing Exotic Grassland
453,2505221,5723826,High Producing Exotic Grassland
454,2506135,5723843,High Producing Exotic Grassland
455,2507049,5723859,High Producing Exotic Grassland
456,2507963,5723876,High Producing Exotic Grassland
457,2508878,5723892,High Producing Exotic Grassland
458,2509792,5723909,High Producing Exotic Grassland
459,2510706,5723925,High Producing Exotic Grassland
460,2511620,5723942,High Producing Exotic Grassland
461,2512534,5723958,High Producing Exotic Grassland
462,2513448,5723975,High Producing Exotic Grassland
463,2514362,5723991,High Producing Exotic Grassland
464,2517105,5724041,High Producing Exotic Grassland
465,2475070,5722368,Vineyard
466,2475984,5722385,Vineyard
467,2476898,5722401,Pine Forest - Closed Canopy
468,2477812,5722418,High Producing Exotic Grassland
469,2478727,5722434,High Producing Exotic Grassland
470,2479641,5722451,High Producing Exotic Grassland
471,2480555,5722467,High Producing Exotic Grassland
472,2481469,5722483,High Producing Exotic Grassland
473,2482383,5722500,Pine Forest - Closed Canopy
474,2483297,5722516,"Afforestation (imaged, post LCDB 1)"
475,2484212,5722533,"Afforestation (imaged, post LCDB 1)"
476,2485126,5722549,High Producing Exotic Grassland
477,2486040,5722566,Low Producing Grassland
478,2486954,5722582,High Producing Exotic Grassland
479,2487868,5722599,High Producing Exotic Grassland
480,2488782,5722615,Low Producing Grassland
481,2489697,5722632,Indigenous Forest
482,2490611,5722648,High Producing Exotic Grassland
483,2491525,5722665,Pine Forest - Open Canopy
484,2492439,5722681,Pine Forest - Open Canopy
485,2493353,5722698,High Producing Exotic Grassland
486,2494267,5722714,High Producing Exotic Grassland
487,2495182,5722731,High Producing Exotic Grassland
488,2496096,5722747,Broadleaved Indigenous Hardwoods
489,2497010,5722764,Low Producing Grassland
490,2497924,5722780,Manuka and or Kanuka
491,2498838,5722796,High Producing Exotic Grassland
492,2499752,5722813,High Producing Exotic Grassland
493,2500667,5722829,High Producing Exotic Grassland
494,2501581,5722846,High Producing Exotic Grassland
495,2502495,5722862,High Producing Exotic Grassland
496,2503409,5722879,High Producing Exotic Grassland
497,2504323,5722895,High Producing Exotic Grassland
498,2505237,5722912,High Producing Exotic Grassland
499,2506152,5722928,High Producing Exotic Grassland
500,2507066,5722945,Manuka and or Kanuka
501,2507980,5722961,High Producing Exotic Grassland
502,2508894,5722978,High Producing Exotic Grassland
503,2509808,5722994,High Producing Exotic Grassland
504,2510722,5723011,High Producing Exotic Grassland
505,2511636,5723027,High Producing Exotic Grassland
506,2512551,5723044,Indigenous Forest
507,2513465,5723060,High Producing Exotic Grassland
508,2514379,5723077,High Producing Exotic Grassland
509,2515293,5723093,High Producing Exotic Grassland
510,2516207,5723110,High Producing Exotic Grassland
511,2517121,5723126,High Producing Exotic Grassland
512,2518036,5723143,High Producing Exotic Grassland
513,2476001,5721470,High Producing Exotic Grassland
514,2476915,5721487,High Producing Exotic Grassland
515,2477829,5721503,High Producing Exotic Grassland
516,2478743,5721520,High Producing Exotic Grassland
517,2479657,5721536,High Producing Exotic Grassland
518,2480571,5721553,Pine Forest - Open Canopy
519,2481486,5721569,High Producing Exotic Grassland
520,2482400,5721586,Pine Forest - Closed Canopy
521,2483314,5721602,"Afforestation (imaged, post LCDB 1)"
522,2484228,5721619,High Producing Exotic Grassland
523,2485142,5721635,Broadleaved Indigenous Hardwoods
524,2486056,5721652,High Producing Exotic Grassland
525,2486971,5721668,High Producing Exotic Grassland
526,2487885,5721685,Manuka and or Kanuka
527,2488799,5721701,Manuka and or Kanuka
528,2489713,5721717,Manuka and or Kanuka
529,2490627,5721734,High Producing Exotic Grassland
530,2491541,5721750,Pine Forest - Open Canopy
531,2492456,5721767,Pine Forest - Open Canopy
532,2493370,5721783,Pine Forest - Open Canopy
533,2494284,5721800,High Producing Exotic Grassland
534,2495198,5721816,High Producing Exotic Grassland
535,2496112,5721833,High Producing Exotic Grassland
536,2497026,5721849,Broadleaved Indigenous Hardwoods
537,2497941,5721866,High Producing Exotic Grassland
538,2498855,5721882,High Producing Exotic Grassland
539,2499769,5721899,High Producing Exotic Grassland
540,2500683,5721915,High Producing Exotic Grassland
541,2501597,5721932,High Producing Exotic Grassland
542,2502511,5721948,High Producing Exotic Grassland
543,2503426,5721965,High Producing Exotic Grassland
544,2504340,5721981,High Producing Exotic Grassland
545,2505254,5721998,Manuka and or Kanuka
546,2506168,5722014,High Producing Exotic Grassland
547,2507082,5722031,High Producing Exotic Grassland
548,2507996,5722047,High Producing Exotic Grassland
549,2508911,5722064,High Producing Exotic Grassland
550,2509825,5722080,Manuka and or Kanuka
551,2510739,5722097,High Producing Exotic Grassland
552,2511653,5722113,Indigenous Forest
553,2512567,5722130,High Producing Exotic Grassland
554,2513481,5722146,High Producing Exotic Grassland
555,2514395,5722163,Broadleaved Indigenous Hardwoods
556,2515310,5722179,High Producing Exotic Grassland
557,2516224,5722196,High Producing Exotic Grassland
558,2517138,5722212,High Producing Exotic Grassland
559,2518052,5722229,High Producing Exotic Grassland
560,2476931,5720573,High Producing Exotic Grassland
561,2477845,5720589,High Producing Exotic Grassland
562,2478760,5720606,High Producing Exotic Grassland
563,2479674,5720622,High Producing Exotic Grassland
564,2480588,5720639,Short-rotation Cropland
565,2481502,5720655,High Producing Exotic Grassland
566,2482416,5720672,High Producing Exotic Grassland
567,2483330,5720688,High Producing Exotic Grassland
568,2484245,5720704,High Producing Exotic Grassland
569,2485159,5720721,Manuka and or Kanuka
570,2486073,5720737,High Producing Exotic Grassland
571,2486987,5720754,High Producing Exotic Grassland
572,2487901,5720770,Pine Forest - Closed Canopy
573,2488815,5720787,High Producing Exotic Grassland
574,2489730,5720803,High Producing Exotic Grassland
575,2490644,5720820,High Producing Exotic Grassland
576,2491558,5720836,Broadleaved Indigenous Hardwoods
577,2492472,5720853,High Producing Exotic Grassland
578,2493386,5720869,Broadleaved Indigenous Hardwoods
579,2494300,5720886,High Producing Exotic Grassland
580,2495215,5720902,Broadleaved Indigenous Hardwoods
581,2496129,5720919,High Producing Exotic Grassland
582,2497043,5720935,High Producing Exotic Grassland
583,2497957,5720952,Broadleaved Indigenous Hardwoods
584,2498871,5720968,Gorse and Broom
585,2499785,5720985,High Producing Exotic Grassland
586,2500700,5721001,High Producing Exotic Grassland
587,2501614,5721018,Pine Forest - Open Canopy
588,2502528,5721034,High Producing Exotic Grassland
589,2503442,5721051,High Producing Exotic Grassland
590,2504356,5721067,Manuka and or Kanuka
591,2505270,5721084,Manuka and or Kanuka
592,2506185,5721100,High Producing Exotic Grassland
593,2507099,5721117,High Producing Exotic Grassland
594,2508013,5721133,Broadleaved Indigenous Hardwoods
595,2508927,5721150,High Producing Exotic Grassland
596,2509841,5721166,High Producing Exotic Grassland
597,2510755,5721183,High Producing Exotic Grassland
598,2511669,5721199,High Producing Exotic Grassland
599,2512580,5721214,High Producing Exotic Grassland
600,2513498,5721232,High Producing Exotic Grassland
601,2514412,5721249,High Producing Exotic Grassland
602,2515326,5721265,High Producing Exotic Grassland
603,2516240,5721282,High Producing Exotic Grassland
604,2517154,5721298,High Producing Exotic Grassland
605,2518069,5721315,Low Producing Grassland
606,2478776,5719692,High Producing Exotic Grassland
607,2479690,5719708,Short-rotation Cropland
608,2480604,5719724,High Producing Exotic Grassland
609,2481519,5719741,High Producing Exotic Grassland
610,2482433,5719757,Pine Forest - Open Canopy
611,2483347,5719774,High Producing Exotic Grassland
612,2484261,5719790,High Producing Exotic Grassland
613,2485175,5719807,High Producing Exotic Grassland
614,2486089,5719823,High Producing Exotic Grassland
615,2487004,5719840,High Producing Exotic Grassland
616,2487918,5719856,High Producing Exotic Grassland
617,2488832,5719873,Broadleaved Indigenous Hardwoods
618,2489746,5719889,High Producing Exotic Grassland
619,2490660,5719906,High Producing Exotic Grassland
620,2491574,5719922,Broadleaved Indigenous Hardwoods
621,2492489,5719939,High Producing Exotic Grassland
622,2493403,5719955,High Producing Exotic Grassland
623,2494317,5719972,High Producing Exotic Grassland
624,2495231,5719988,High Producing Exotic Grassland
625,2496145,5720005,High Producing Exotic Grassland
626,2497059,5720021,Pine Forest - Open Canopy
627,2497974,5720037,High Producing Exotic Grassland
628,2498888,5720054,High Producing Exotic Grassland
629,2499802,5720070,High Producing Exotic Grassland
630,2500716,5720087,High Producing Exotic Grassland
631,2501630,5720103,Manuka and or Kanuka
632,2502544,5720120,Pine Forest - Closed Canopy
633,2503459,5720136,High Producing Exotic Grassland
634,2504373,5720153,Broadleaved Indigenous Hardwoods
