Sp.code,SpeciesName,Growth.forms,Growth.forms_corrected,GROWTH_FORM_ALL,LIFE_DURATION,lifestyle,lifestyle.corrected,woody,lifeform,lifeform_corrected,source
FESACT,Festuca actae Connor,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
FESNOV,Festuca novae-zelandiae (Hack.) Cockayne,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
FESOVI,Festuca ovina subsp. hirtula (W.G.Travis) M.J.Wilk.,GR,,MG,P,P,,0,NA,Hemicryptophyte,
FESRUB,Festuca rubra L. subsp. rubra,GR,,MG,P,P,,0,NA,Hemicryptophyte,
FESCOM,Festuca rubra subsp. commutata Gaudin,GR,,MG,P,P,,0,NA,Hemicryptophyte,
FESTUC,Festuca spp. L.,GR,,MG,P,P,,0,NA,NA,
GLYDEC,Glyceria declinata Bréb.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
HIERED,Hierochloe redolens (Vahl) Roem. & Schult.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
HOLLAN,Holcus lanatus L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
KOENOV,Koeleria novozelandica Domin,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
LACHNA,Lachnagrostis spp. Trin.,GR,,MG,P,P,,0,NA,NA,
LAGOVA,Lagurus ovatus L.,GR,,MG,P,P,A,0,NA,Therophyte,
LOLPER,Lolium perenne L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
MICAVE,Microlaena avenacea (Raoul) Hook.f.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
MICPOL,Microlaena polynoda (Hook.f.) Hook.f.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
MICSTI,Microlaena stipoides (Labill.) R.Br.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
PARINC,Parapholis incurva (L.) C.E.Hubb.,GR,,MG,P,P,A,0,Therophyte,Therophyte,
PASDIL,Paspalum dilatatum Poir.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
PHOCOO,Phormium cookianum Le Jol.,GR,HR,MG,P,P,,0,Phanerophyte,Hemicryptophyte,
PHOTEN,Phormium tenax J.R.Forst. & G.Forst.,GR,HR,MG,P,P,,0,Phanerophyte,Hemicryptophyte,
POAANC,Poa anceps G.Forst.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
POAANN,Poa annua L.,GR,,MG,P,P,A,0,Therophyte,Therophyte,
POACOL,Poa colensoi Hook.f.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
POAIMB,Poa imbecilla Spreng.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
POAINF,Poa infirma Kunth,GR,,MG,P,P,A,0,Therophyte,Therophyte,
POAPRA,Poa pratensis L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
POATRI,Poa trivialis L.,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
PUCCIN,Puccinellia spp. Parl.,GR,,MG,P,P,,0,NA,Hemicryptophyte,Kew
RYTBUC,Rytidosperma buchananii (Hook.f.) Connor & Edgar,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
RYTCAE,Rytidosperma caespitosum (Gaudich.) Connor & Edgar,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
RYTCLA,Rytidosperma clavatum (Zotov) Connor & Edgar,GR,,MG,P,P,,0,Hemicryptophyte,Hemicryptophyte,
