Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Tropical dry forest,Dicotyledons,NearGarryales,Icacinaceae,Emmotum fagifolium,,,,40,,950,300
Tropical dry forest,Dicotyledons,Laurales,Lauraceae,Endlicheria dysodantha,,,,12,,1230,864; 884
Tropical dry forest,Dicotyledons,Laurales,Lauraceae,Endlicheria punctulata,,,,25,,1290,300
Tropical dry forest,Dicotyledons,Laurales,Lauraceae,Endlicheria sericea,,,,35,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Eperua falcata,,,,40,,7388.747,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Eperua grandiflora,,,,40,,18153.651,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Eperua rubiginosa,,,,40,,38450,300
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Ephedranthus guianensis,,,,25,,2450,300
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Erythrina amazonica,,,,10,,,864
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Erythrina poeppigiana,,,35,,245,,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Rutaceae,Erythrochiton fallax,,101,,5,,,641; 642
Tropical dry forest,Dicotyledons,Malpighiales,Erythroxylaceae,Erythroxylum macrophyllum,,136.2,,14.47,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera decolorans,,,,34.64,,2466.372,300
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera juruensis,,,,30,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera laevicarpa,,,,30,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera ovalifolia,,,,30,,6663,864; 884
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera parvifolia,,,,20,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera rufifolia,,,,25,,,864
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera sagotiana,,,,40,,2818.918,300
Tropical dry forest,Dicotyledons,Sapindales,Rutaceae,Esenbeckia amazonica,,,,20,,,864
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eucalyptus globulus,69.4,,55,,37.4,,437; 883; 884
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia cucullata,,,,25,,800,300
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia egensis,,,,6,,,864
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia florida,,148,,15.49,,,641; 642
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia multirimosa,,,,6,,,864
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia myrobalana,,,,10,,6000,864; 884
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia patrisii,,,,25,,660,300
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia schunkei,,,,5,,,864
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia sp.,,,,19.63,,588.64,300
Tropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia stipitata,,,,6,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Exostema maynense,,,,30,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Faramea glandulosa,,,,12,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Faramea multiflora,,193.7,,4,,,864
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Faramea torquata,,,,18,,,864
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus benghalensis,,79.1,,,,1190,437; 883; 884
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus boliviana,,219,,43,,,641; 642
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus carica,,100.7,,,,,437; 883
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus guianensis,,,,29.58,,0.114,300
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus insipida,,98.8,,37.25,,1,864; 884
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus piresiana,,,,30,,,864
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus racemosa,,108.6,,,,0.13,883; 884
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus religiosa,,91.8,,,,,437; 883
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus rumphii,,126.4,,,,,437; 883
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Ficus sp.,,,25,,0.33,,300
Tropical dry forest,Dicotyledons,Malpighiales,Ochnaceae,Froesia diffusa,,,,20,,,864
Tropical dry forest,Dicotyledons,Caryophyllales,Phytolaccaceae,Gallesia integrifolia,,181,,30.98,,,641; 642
Tropical dry forest,Dicotyledons,Malpighiales,Clusiaceae,Garcinia macrophylla,,,,30,,743,864; 884
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Gardenia jasminoides,,121.8,,,,3.8,437; 883; 884
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Gardenia latifolia,,113.9,,,,,883
Tropical dry forest,Dicotyledons,Gentianales,Apocynaceae,Geissospermum sericeum,,,,40,,710,300
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Genipa americana,,,,24.32,,109,864; 884
Tropical dry forest,Dicotyledons,Malpighiales,Violaceae,Gloeospermum sphaerocarpum,,,,10,,214,864; 884
Tropical dry forest,Dicotyledons,Malvales,Malvaceae,Grewia asiatica,,98.8,,,,49.9,437; 883; 884
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Grias neuberthii,,,,20,,,864
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea carinata,,,,20,,,864
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea glabra,,86.5,,22.36,,614.218,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea grandifolia,,99.2,,39.73,,800,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea guentheri,,,,16,,,864
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea guidonia,,96,,17.08,,127,641; 642; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea kunthiana,,,,30,,200,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea macrophylla,,,,20,,600,864; 884
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea purusana,,,,25,,,864
Tropical dry forest,Dicotyledons,Sapindales,Meliaceae,Guarea silvatica,,,,20,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria glaberrima,,,,40,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria guianensis,,,,10,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria megalophylla,,,,15,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria multivenia,,,,20,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria olivacea,,,,25,,,864
Tropical dry forest,Dicotyledons,Magnoliales,Annonaceae,Guatteria recurvisepala,,196.5,,25,,,864
Tropical dry forest,Dicotyledons,Malvales,Malvaceae,Guazuma ulmifolia,,127.8,,32.21,,5,864; 884
Tropical dry forest,Dicotyledons,Ericales,Lecythidaceae,Gustavia hexapetala,,,,24.51,,175,864; 884
Tropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Hamelia patens,279.3,,4.82,,0.07,,437; 883; 884
Tropical dry forest,Dicotyledons,Fabales,Fabaceae,Hardwickia binata,,83.9,,,,3272,883; 884
Tropical dry forest,Dicotyledons,Malvales,Malvaceae,Hasseltia floribunda,,,,19.06,,20,864; 884
Tropical dry forest,Dicotyledons,Santalales,Olacaceae,Heisteria cauliflora,,,,10,,160,300
Tropical dry forest,Dicotyledons,Santalales,Olacaceae,Heisteria nitida,,,,12,,200,864; 884
Tropical dry forest,Dicotyledons,Santalales,Olacaceae,Heisteria spruceana,,,,10,,,864
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Helicostylis elegans,,,,25,,,864
Tropical dry forest,Dicotyledons,Rosales,Moraceae,Helicostylis sp.,,,,40,,230,300
