Habitat,Group,Order,Family,Species,SLA.Alien,SLA.Native,Hmax.Alien,Hmax.Native,SWT.Alien,SWT.Native,Ref
Subtropical dry forest,Dicotyledons,Caryophyllales,Amaranthaceae,Maireana microphylla,,91.8,,0.55,,0.76,243; 884
Subtropical dry forest,Dicotyledons,Lamiales,Lamiaceae,Marrubium vulgare,94.1,,0.2,,0.812,,243; 886
Subtropical dry forest,Dicotyledons,Asterales,Asteraceae,Mikania denticulata,,108.2,,0.15,,,243
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Mimosa bahamensis,,112,,,,20.3,708; 884
Subtropical dry forest,Dicotyledons,Myrtales,Myrtaceae,Myrtus communis,110.6,,,,12.04,,824; 883; 884
Subtropical dry forest,Dicotyledons,Caryophyllales,Polygonaceae,Neomillspaughia emarginata,,44.4,,,,,708
Subtropical dry forest,Dicotyledons,Gentianales,Apocynaceae,Nerium oleander,55.1,,,,4.1,,824; 883; 884
Subtropical dry forest,Dicotyledons,Lamiales,Oleaceae,Olea europaea,56.9,,15,,124.244,,824; 883; 884
Subtropical dry forest,Dicotyledons,Lamiales,Oleaceae,Phillyrea angustifolia,,64.6,,,,4.4,824; 883; 884
Subtropical dry forest,Dicotyledons,Lamiales,Lamiaceae,Phlomis purpurea,,,,,,4.4,883; 884
Subtropical dry forest,Dicotyledons,Rosales,Ulmaceae,Phyllostylon brasiliensis,75.1,,,,,,864
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Piscidia piscipula,45.2,,,,,,708
Subtropical dry forest,Dicotyledons,Sapindales,Anacardiaceae,Pistacia lentiscus,,34.6,,,,23.793,824; 883; 884
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Pithecellobium dulce,89.4,,,,89.9,,708; 884
Subtropical dry forest,Dicotyledons,Malpighiales,Salicaceae,Populus alba,,137.2,,30.2,,0.12,824; 883; 884
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Prosopis glandulosa,,,,,69.67,,585; 884
Subtropical dry forest,Dicotyledons,Rosales,Rosaceae,Pyrus bourgaeana,,86.5,,,,,824; 883
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus agrifolia,60.5,,15.73,,2272.172,,824; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus coccifera,,48.2,,,,1742,824; 883; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus douglasii,74.1,,18.27,,4545.516,,824; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus faginea,,76.6,,,,,824; 883
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus kelloggii,107.8,,25.09,,4780.883,,824; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus lobata,116.6,,23.1,,4495.331,,824; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus lusitanica,,67.6,,,,8058,824; 883; 884
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus pyrenaica,,100.2,,,,,824; 883
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus rotundifolia,,48.6,,,,,824; 883
Subtropical dry forest,Dicotyledons,Fagales,Fagaceae,Quercus suber,74.1,,,,3469,,824; 883; 884
Subtropical dry forest,Dicotyledons,Gentianales,Rubiaceae,Randia obcordata,,85.8,,,,,708
Subtropical dry forest,Dicotyledons,Rosales,Rhamnaceae,Rhamnus californica,,127.4,,3.75,,30.706,824; 884
Subtropical dry forest,Dicotyledons,Lamiales,Lamiaceae,Rosmarinus officinalis,47.9,,,,0.8,,824; 883; 884
Subtropical dry forest,Dicotyledons,Rosales,Rosaceae,Rubus ulmifolius,,122.9,,1.91,,2.58,400; 824; 883; 884
Subtropical dry forest,Dicotyledons,Malpighiales,Salicaceae,Salix sp.,,85.1,,10,,0.09,824; 883; 884
Subtropical dry forest,Dicotyledons,Caryophyllales,Amaranthaceae,Salsola kali,32.9,,0.34,,3.62,,243; 884
Subtropical dry forest,Dicotyledons,Celastrales,Celastraceae,Schaefferia cuneifolia,,,,1.5,,5.915,585; 884
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Senna racemosa,,110.2,,,,,708
Subtropical dry forest,Dicotyledons,Malvales,Malvaceae,Sida rhombifolia,138,,0.42,,2.064,,243; 886
Subtropical dry forest,Monocotyledons,Liliales,Smilacaceae,Smilax aspera,,36.3,,,,43.72,883; 884
Subtropical dry forest,Dicotyledons,Sapindales,Sapindaceae,Thouinia paucidentata,,106,,,,,708
Subtropical dry forest,Dicotyledons,Vitales,Vitaceae,Vitis vinifera,226.8,,10,,31,,400; 824; 883; 884
Subtropical dry forest,Dicotyledons,Malvales,Malvaceae,Waltheria indica,,130.8,,,,1.69,708; 884
Subtropical dry forest,Dicotyledons,Sapindales,Rutaceae,Zanthoxylum fagara,,,,8.5,,12.8,585; 884
Subtropical dry forest,Dicotyledons,Fabales,Fabaceae,Zapoteca formosa,,114.2,,,,23.12,708; 884
Subtropical dry forest,Dicotyledons,Rosales,Rhamnaceae,Ziziphus obtusifolia,,69.3,,1.8,,,585
Subtropical moist forest,Dicotyledons,Ranunculales,Menispermaceae,Abuta panamensis,,153.1,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Acacia floribunda,,72.3,,10,,8,243; 884
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Acacia irrorata,,192,,12,,10.819,243; 884
Subtropical moist forest,Dicotyledons,Sapindales,Rutaceae,Acronychia pubescens,,,18,,,,396
Subtropical moist forest,Dicotyledons,Sapindales,Rutaceae,Acronychia suberosa,,,21.6,,,,396
Subtropical moist forest,Dicotyledons,Malpighiales,Phyllanthaceae,Actephila lindleyi,,,9,,,,396
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Adelia triloba,,,,28.05,,129,864; 884
Subtropical moist forest,Dicotyledons,Myrtales,Melastomataceae,Adelobotrys adscendens,,126,,3.5,,,864
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Aegiceras corniculatum,,,,2,,510,301; 884
Subtropical moist forest,Dicotyledons,Lamiales,Verbenaceae,Aegiphila falcata,,279.3,,,,,864
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Ageratina riparia,162.6,,1,,0.057,,251; 886
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Albizia guachapele,,108.9,,,,32,864; 884
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Albizia procera,,,,,41,,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Alchornea costaricensis,,222.2,,33.93,,37,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Alchornea latifolia,,175.1,,21.79,,34,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Alchorneopsis floribunda,,325.7,,25,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Alibertia edulis,,,,12.57,,15,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Allophylus psilospermus,,215.8,,22.06,,56.2,864; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Alseis blackiana,,126.7,,28.81,,0.1,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Ulmaceae,Ampelocera hottlei,,,,30,,670,500; 884
Subtropical moist forest,Dicotyledons,Rosales,Ulmaceae,Ampelocera macrocarpa,,134.5,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Amphilophium paniculatum,,134.5,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Amphitecna kennedyi,,167.5,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Amphitecna tuxtlensis,,117,,10,,,500
Subtropical moist forest,Dicotyledons,Sapindales,Anacardiaceae,Anacardium excelsum,,78.3,,39.39,,2873,708; 864; 884
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Anaxagorea crassipetala,,211.4,,,,,864
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Anaxagorea phaeocarpa,,164,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Andira inermis,,,,20.63,,792,864; 884
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Anemopaegma santa-ritensis,,109.5,,,,,864
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Angophora costata,,56.1,,30,,16.1,243; 884
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Annona montana,,193.4,,10,,,864
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Annona sp.,,629.2,,21.21,,250.639,864; 884
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Annona spraguei,,153,,24.29,,,864
Subtropical moist forest,Dicotyledons,Ranunculales,Menispermaceae,Anomospermum reticulatum,113,,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Antirhea trichantha,,147.1,,,,10,864; 884
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Apeiba aspera,,100.3,,32.83,,14.2,864; 884
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Apeiba membranacea,,131,,,,21,864; 884
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Apeiba tibourbou,,,,26.94,,11,864; 884
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Ardisia auriculata,,194.3,,8,,,864
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Ardisia fimbrillifera,,162.8,,,,,864
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Ardisia nigropunctata,,205.3,,,,,864
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Ardisia revoluta,,,,,53.99,,864; 884
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Ardisia sp.,,,,29,,,864
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Argyrodendron actinophyllum,,,,33.2,,,396
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Argyrodendron trifoliolatum,,,,37,,,396
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Argyroxiphium kauense,,42.5,,,,,251
Subtropical moist forest,Monocotyledons,Poales,Poaceae,Aristida chinensis,,,,0.6,,,301
Subtropical moist forest,Dicotyledons,Piperales,Aristolochiaceae,Aristolochia chapmaniana,,127.1,,,,,864
Subtropical moist forest,Dicotyledons,Piperales,Aristolochiaceae,Aristolochia gigantea,,,,3,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Arrabidaea candicans,,,,,19,,864; 884
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Arrabidaea patellifera,,124.5,,,,17,864; 884
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Arrabidaea verrucosa,,106.2,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Apocynaceae,Aspidosperma cruenta,,63.6,,37.52,,,708; 864
Subtropical moist forest,Dicotyledons,Gentianales,Apocynaceae,Aspidosperma spruceanum,,81.2,,,,718,864; 884
Subtropical moist forest,Monocotyledons,Asparagales,Asteliaceae,Astelia menziesiana,,107.6,,0.6,,,251
Subtropical moist forest,Dicotyledons,Sapindales,Anacardiaceae,Astronium graveolens,,121.2,,37.19,,29,708; 864; 884
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Attalea butyracea,,,,17.14,,,864
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Bactris barronis,,,,8,,,864
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Bactris coloniata,,,,7.92,,,864
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Bactris coloradonis,,,,8.94,,,864
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Bactris major,,,,10,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Baloghia inophylla,,,,24,,,396
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Bertiera guianensis,,206.5,,3.71,,1,864; 884
Subtropical moist forest,Dicotyledons,Solanales,Convolvulaceae,Bonamia maripoides,,178.6,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Borojoa panamensis,,133.2,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Acanthaceae,Bravaisia integerrima,,308.9,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Phyllanthaceae,Breynia oblongifolia,,157.1,,0.55,,5.66,243; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Brosimum alicastrum,154.1,,34.69,,1375,,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Brosimum guianense,,222.4,,23.24,,,864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Brosimum lactescens,,172.7,,,,1000,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Brosimum utile,,71.9,,41.71,,,708; 864
Subtropical moist forest,Dicotyledons,Malpighiales,Malpighiaceae,Bunchosia ocellata,,213.8,,,,,864
Subtropical moist forest,Dicotyledons,Sapindales,Burseraceae,Bursera simaruba,,134.8,,40,,117,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Malpighiaceae,Byrsonima crispa,,307.1,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Malpighiaceae,Byrsonima spicata,,,,,,108,864; 884
Subtropical moist forest,Dicotyledons,Oxalidales,Cunoniaceae,Caldcluvia paniculosa,,,,28.2,,,396
Subtropical moist forest,Dicotyledons,Lamiales,Bignoniaceae,Callichlamys latifolia,,,,40,,415.675,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Clusiaceae,Calophyllum brasiliense,,112.3,,30,,3954,500; 864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Clusiaceae,Calophyllum longifolium,,41.9,,35.06,,4151,708; 864; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Calycophyllum candidissimum,199.3,,28.9,,,,708; 864
Subtropical moist forest,Dicotyledons,Brassicales,Brassicaceae,Capparis frondosa,,,,10.99,,97,864; 884
Subtropical moist forest,Dicotyledons,Brassicales,Brassicaceae,Capparis pittieri,,169.2,,,,,864
Subtropical moist forest,Dicotyledons,Sapindales,Meliaceae,Carapa guianensis,,59.2,,37.63,,19328.502,708; 864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Salicaceae,Casearia arborea,,129.8,,28.34,,1.65,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Salicaceae,Casearia commersoniana,,194.2,,12.7,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Salicaceae,Casearia corymbosa,,124.4,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Salicaceae,Casearia sylvestris,,143.5,,14.64,,3,864; 884
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Cassia moschata,,,,,83.99,,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Rhizophoraceae,Cassipourea elliptica,,113.6,,24.38,,,708; 864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Castilla elastica,,118.9,,30,,568.18,864; 884
Subtropical moist forest,Dicotyledons,Fagales,Casuarinaceae,Casuarina equisetifolia,,,,35,,5,301; 884
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Cavanillesia platanifolia,,,,40.55,,1459,864; 884
Subtropical moist forest,Dicotyledons,Cucurbitales,Cucurbitaceae,Cayaponia granatensis,,91.4,,,,,864
Subtropical moist forest,Dicotyledons,Rosales,Urticaceae,Cecropia insignis,,104.7,,32.24,,0.6,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Urticaceae,Cecropia longipes,,113.7,,15.52,,0.7,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Urticaceae,Cecropia obtusifolia,154.6,,24.49,,0.7,,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Urticaceae,Cecropia peltata,,137.9,,20,,0.6,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Meliaceae,Cedrela odorata,,222.1,,34.76,,17,864; 884
Subtropical moist forest,Dicotyledons,Malvales,Malvaceae,Ceiba pentandra,,204.5,,42.4,,59,500; 864; 884
Subtropical moist forest,Dicotyledons,Rosales,Ulmaceae,Celtis schippii,,210.6,,30,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Rhizophoraceae,Ceriops tagal,,,,7,,3025,301; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Ochnaceae,Cespedesia macrophylla,,112.3,,19.65,,0.2,864; 884
Subtropical moist forest,Dicotyledons,Malpighiales,Ochnaceae,Cespedesia spathulata,,99.2,,30,,,864
Subtropical moist forest,Dicotyledons,Solanales,Solanaceae,Cestrum megalophyllum,,207.9,,7.36,,,864
Subtropical moist forest,Dicotyledons,Solanales,Solanaceae,Cestrum racemosum,,185,,15.49,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Chimarrhis parviflora,,96.8,,12.9,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Clusiaceae,Chrysochlamys nicaraguensis,,309.5,,,,,864
Subtropical moist forest,Dicotyledons,Ericales,Sapotaceae,Chrysophyllum argenteum,,125.9,,31.63,,236.5,864; 884
Subtropical moist forest,Dicotyledons,Ericales,Sapotaceae,Chrysophyllum cainito,85.2,,36.31,,210,,708; 864; 884
Subtropical moist forest,Dicotyledons,Ericales,Sapotaceae,Chrysophyllum venezuelanense,,129.1,,28.28,,,500; 864
Subtropical moist forest,Dicotyledons,Laurales,Lauraceae,Cinnamomum chavarrianum,,101.1,,,,,864
Subtropical moist forest,Dicotyledons,Laurales,Lauraceae,Cinnamomum virens,,,,31.5,,,396
Subtropical moist forest,Dicotyledons,Vitales,Vitaceae,Cissus erosa,,,,,,12.89,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Clarisia mexicana,,151.4,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Verbenaceae,Clerodendrum floribundum,,,,13,,43.7,396; 884
Subtropical moist forest,Dicotyledons,Ericales,Clethraceae,Clethra mexicana,,140.9,,,,,864
Subtropical moist forest,Dicotyledons,Caryophyllales,Polygonaceae,Coccoloba parimensis,,108.4,,,,,864
Subtropical moist forest,Dicotyledons,Lamiales,Gesneriaceae,Codonanthe uleana,,235.4,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Cojoba arborea,,,,25,,850,500; 884
Subtropical moist forest,Dicotyledons,Rosales,Rhamnaceae,Colubrina spinosa,,140.8,,,,,864
Subtropical moist forest,Dicotyledons,Myrtales,Combretaceae,Combretum fruticosum,,124.4,,6,,,864
Subtropical moist forest,Monocotyledons,Commelinales,Commelinaceae,Commelina benghalensis,,,0.4,,,,301
Subtropical moist forest,Dicotyledons,Magnoliales,Myristicaceae,Compsoneura sprucei,,152.6,,20,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Conceveiba pleiostemona,,200.2,,,,,864
Subtropical moist forest,Dicotyledons,Myrtales,Melastomataceae,Conostegia lasiopoda,,283.5,,,,,864
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Conyza canadensis,201.1,,0.53,,0.055,,251; 400; 888
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Copaifera aromatica,,,35,,,,864
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia alliodora,,138.6,,33.17,,31.836,864; 884
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia bicolor,,106.4,,26.63,,99,864; 884
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia dwyeri,,124.7,,,,,864
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia lucidula,,178.8,,,,,864
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia megalantha,,116.5,,35,,149.2,500; 884
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia panamensis,,,,,,60,864; 884
Subtropical moist forest,Dicotyledons,UnplacedEuasteridI,Boraginaceae,Cordia stellifera,,,,25,,,500
Subtropical moist forest,Dicotyledons,Malpighiales,Chrysobalanaceae,Couepia polyandra,,270.2,,25,,2100,500; 864; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Coussarea hondensis,,244.8,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Coussarea impetiolaris,,518.7,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Coussarea talamancana,,154.5,,,,,864
Subtropical moist forest,Monocotyledons,Asparagales,Iridaceae,Crocosmia pottsii,229.9,,1,,,,251
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Croton schiedeanus,,206.3,,15,,53,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Cupania cinerea,,168,,22.06,,510,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Cupania latifolia,,,,25.49,,760,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Cupania scrobiculata,,,19.36,,177.482,,864; 884
Subtropical moist forest,Dicotyledons,Ericales,Myrsinaceae,Cybianthus schlimii,,120.6,,,,,864
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Cymbopetalum costaricense,,145.5,,,,,864
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Cymbopetalum torulosum,,239.3,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Cymbosema roseum,,140.7,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Dalbergia retusa,,,,,126,,864; 884
Subtropical moist forest,Dicotyledons,Apiales,Araliaceae,Dendropanax arboreus,,170.6,,28.06,,9,864; 884
Subtropical moist forest,Dicotyledons,Apiales,Araliaceae,Dendropanax stenodontus,,113.5,,,,,864
Subtropical moist forest,Dicotyledons,Celastrales,Celastraceae,Denhamia pittosporoides,,,,16,,,396
Subtropical moist forest,Monocotyledons,Poales,Poaceae,Deschampsia nubigena,38.1,,1,,,,251
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Desmodium sandwicense,115.9,,1,,,,251
Subtropical moist forest,Dicotyledons,Magnoliales,Annonaceae,Desmopsis microcarpa,,248.2,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Dichapetalaceae,Dichapetalum axillare,,253.3,,,,,864
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Dioclea guianensis,,180.4,,,,72,864; 884
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Dioclea wilsonii,197.6,,,,,,864
Subtropical moist forest,Dicotyledons,Ericales,Ebenaceae,Diospyros pentamera,,,,27.8,,,396
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Diphysa robinioides,,,,,,21.4,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Diploglottis cunninghamii,,,,28.5,,,396
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Dipteryx panamensis,,136.1,,47.91,,7542,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Dodonaea viscosa,66.8,,2.14,,7.512,,301; 888
Subtropical moist forest,Dicotyledons,Dilleniales,Dilleniaceae,Doliocarpus dentatus,,99.8,,,,,864
Subtropical moist forest,Dicotyledons,Dilleniales,Dilleniaceae,Doliocarpus major,,210.2,,,,,864
Subtropical moist forest,Dicotyledons,Dilleniales,Dilleniaceae,Doliocarpus multiflorus,,168.2,,,,,864
Subtropical moist forest,Dicotyledons,Dilleniales,Dilleniaceae,Doliocarpus olivaceus,,141.3,,,,,864
Subtropical moist forest,Dicotyledons,Laurales,Monimiaceae,Doryphora sassafras,,104.9,,21.92,,7.675,396; 884
Subtropical moist forest,Dicotyledons,Lamiales,Gesneriaceae,Drymonia serrulata,,199.4,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Euphorbiaceae,Drypetes variabilis,,151.3,,,,,864
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Dubautia scabra,,124,,,,,251
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Dussia sp.,,90.9,,,,,708; 864
Subtropical moist forest,Dicotyledons,Malpighiales,Clusiaceae,Dystovomita paniculata,,145.7,,,,,864
Subtropical moist forest,Monocotyledons,Poales,Poaceae,Ehrharta stipoides,373.1,,0.3,,4.88,,251; 884
Subtropical moist forest,Monocotyledons,Arecales,Arecaceae,Elaeis oleifera,,,,28.37,,2507,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Sapindaceae,Elattostachys nervosa,,,,23,,,396
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Elephantopus scaber,,,,,,1.78,301; 884
Subtropical moist forest,Dicotyledons,Rosales,Rhamnaceae,Emmenosperma alphitonioides,,,,34.1,,1,396; 884
Subtropical moist forest,Dicotyledons,Fabales,Fabaceae,Enterolobium cyclocarpum,72.9,,,,692,,708; 884
Subtropical moist forest,Monocotyledons,Poales,Poaceae,Eragrostis variabilis,,83.3,,0.8,,,251
Subtropical moist forest,Dicotyledons,Myrtales,Vochysiaceae,Erisma blancoa,,69.2,,,,,708
Subtropical moist forest,Dicotyledons,Malpighiales,Erythroxylaceae,Erythroxylum fimbriatum,,164.7,,,,,864
Subtropical moist forest,Dicotyledons,Malpighiales,Erythroxylaceae,Erythroxylum macrophyllum,,136.2,,14.47,,,864
Subtropical moist forest,Dicotyledons,Ericales,Lecythidaceae,Eschweilera longirachis,,109.7,,,,,864
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Eucalyptus paniculata,,114,,30,,0.49,243; 884
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Eucalyptus saligna,,95.2,,30,,0.8,243; 884
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia inirebensis,,,,15,,,500
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia sarapiquensis,,161.7,,,,,864
Subtropical moist forest,Dicotyledons,Myrtales,Myrtaceae,Eugenia sp.,,,19.63,,588.64,,864; 884
Subtropical moist forest,Dicotyledons,Sapindales,Rutaceae,Euodia micrococca,,,,24.8,,7.006,396; 884
Subtropical moist forest,Dicotyledons,Asterales,Asteraceae,Eupatorium odoratum,,,,,,0.4,301; 884
Subtropical moist forest,Dicotyledons,Magnoliales,Eupomatiaceae,Eupomatia laurina,,150.9,,5.21,,8.15,396; 884
Subtropical moist forest,Monocotyledons,Liliales,Philesiaceae,Eustrephus latifolius,,162.2,,0.95,,13.72,243; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Faramea multiflora,,193.7,,4,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Faramea occidentalis,,114.9,,16.02,,300,864; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Faramea parvibractea,,216,,,,,864
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Faramea sp.,,370.1,,,,1130,864; 884
Subtropical moist forest,Dicotyledons,Gentianales,Rubiaceae,Faramea stenura,,513.5,,,,,864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus citrifolia,,,,11.09,,0.9,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus colubrinae,,109.9,,12.81,,,864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus insipida,,98.8,,37.25,,1,864; 884
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus maxima,,158.5,,26.53,,,864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus nymphaeaefolia,,106.3,,35,,,864
Subtropical moist forest,Dicotyledons,Rosales,Moraceae,Ficus paraensis,,91.5,,20,,,864
