TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Crataegus monogyna Jacq.,Crataegus monogyna Jacq.,Spermatophyta,Dicotyledonae,Rosaceae,Crataegus,monogyna,NA,CRAMON,1900 - 1940,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)",Present in NZ (wild - naturalised exotic),6,Evergreen,Broad leaved,58,40,,Yes,No,Yes,No,Widespread,Hermaphrodite,2,9,7,5,Medium viability,"> 10,000",8.1,,112
Metrosideros diffusa (G.Forst.) Sm.,Metrosideros diffusa (G.Forst.) Sm.,Spermatophyta,Dicotyledonae,Myrtaceae,Metrosideros,diffusa,NA,METDIF,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - endemic NZ native, extant)",6,Evergreen,Broad leaved,8,6,10,No,No,Yes,No,Widespread,Dioecious,4,4,3,3,No viability data,"> 10,000",0.8,,0
Pseudopanax arboreus (Murray) Philipson,Pseudopanax arboreus (Murray) Philipson,Spermatophyta,Dicotyledonae,Araliaceae,Pseudopanax,arboreus,NA,PSEARB,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",6,Evergreen,Broad leaved,360,,,No,No,Yes,No,Widespread,Dioecious,3,7,4,7,No viability data,"1,000 - 10,000",3.7,,5
Fuchsia excorticata (J.R.Forst. & G.Forst.) L.f.,Fuchsia excorticata (J.R.Forst. & G.Forst.) L.f.,Spermatophyta,Dicotyledonae,Onagraceae,Fuchsia,excorticata,NA,FUCEXC,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",8,Semi-evergreen,Broad leaved,100,30,,No,No,Yes,No,Widespread,Hermaphrodite,5,10,8,7,Seed produced,"> 10,000",0.8,,0
Melicytus ramiflorus J.R.Forst. & G.Forst.,Melicytus ramiflorus J.R.Forst. & G.Forst.,Spermatophyta,Dicotyledonae,Violaceae,Melicytus,ramiflorus,NA,MELRAM,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - non endemic NZ native, extant)",8,Evergreen,Broad leaved,120,40,10,No,No,Yes,No,Widespread,Dioecious,4,4,3,5,High viability,"> 10,000",2,1.5,1
Trachycarpus fortunei (Hook.) H.Wendl.,Trachycarpus fortunei (Hook.) H.Wendl.,Spermatophyta,Monocotyledonae,Arecaceae,Trachycarpus,fortunei,NA,TRAFOR,1940 - 1970,Moderate,Phanerophyte,Phanerophyte,Monocot Trees,Present in NZ (wild - naturalised exotic),8,Evergreen,Broad leaved,750,1000,,No,No data available,,No,Scattered,Monoecious,,9,12,1,No viability data,No data available,,,
Myoporum laetum G.Forst.,Myoporum laetum G.Forst.,Spermatophyta,Dicotyledonae,Myoporaceae,Myoporum,laetum,NA,MYOLAE,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",9,Evergreen,Broad leaved,100,50,,No,Yes,Yes,No,Widespread,Hermaphrodite,,8,6,,Seed produced,,,,
Cupressus macrocarpa Hartw. ex Gordon,Cupressus macrocarpa Hartw. ex Gordon,Spermatophyta,Gymnospermae,Cupressaceae,Cupressus,macrocarpa,NA,CUPMAC,1900 - 1940,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),10,Evergreen,Broad leaved,,,,No,Yes,No,No,Widespread,Monoecious,,27,24,,No viability data,"> 10,000",,,
Griselinia littoralis Raoul,Griselinia littoralis Raoul,Spermatophyta,Dicotyledonae,Griseliniaceae,Griselinia,littoralis,NA,GRILIT,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",10,Evergreen,Broad leaved,75,35,,,,,,Widespread,Dioecious,2,6,,3,Seed produced,,5.5,,33
Cordyline australis (G.Forst.) Endl.,Cordyline australis (G.Forst.) Endl.,Spermatophyta,Dicotyledonae,Laxmanniaceae,Cordyline,australis,NA,CORAUS,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Monocot Trees, Agavoids","Present in NZ (wild - endemic NZ native, extant)",11,Evergreen,Grass leaved - Flat,650,45,,No,No,Yes,No,Widespread,Hermaphrodite,3,5,,4,Medium viability,"1,000 - 10,000",2.5,,
Cupressus sempervirens L.,Cupressus sempervirens L.,Spermatophyta,Gymnospermae,Cupressaceae,Cupressus,sempervirens,NA,CUPSEM,Post 1990,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),12,Evergreen,Scale-like,1,,,No,No,,No,Rare,Monoecious,,30,,,Seed produced,,,,
Acer pseudoplatanus L.,Acer pseudoplatanus L.,Spermatophyta,Dicotyledonae,Sapindaceae,Acer,pseudoplatanus,NA,ACEPSE,1940 - 1970,High,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),18,Deciduous,Broad leaved,180,150,5,No,No,Yes,No,Widespread,Monoecious,,,,,Medium viability,"> 10,000",6.4,5,120
Pinus radiata D.Don,Pinus radiata D.Don,Spermatophyta,Gymnospermae,Pinaceae,Pinus,radiata,NA,PINRAD,1900 - 1940,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),20,Evergreen,Needle leaved - 3 Needles,105,2,7.5,No,No,Yes,No,Widespread,Monoecious,,35,120,,No viability data,"> 10,000",,,29
Quercus robur L.,Quercus robur L.,Spermatophyta,Dicotyledonae,Fagaceae,Quercus,robur,NA,QUEROB,1940 - 1970,Moderate,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),20,Evergreen,Broad leaved,114,60,20,No,No,Yes,No,Scattered,Monoecious,2,30,,,High viability,"> 10,000",20,,3853
Acacia dealbata Link,Racosperma dealbatum (Link) Pedley,Spermatophyta,Dicotyledonae,Fabaceae,Acacia,dealbata,NA,ACADEA,1840 - 1870,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,,,,No,No,,Yes,Widespread,,3,75,10,,Seed produced,"> 10,000",,,
Acacia mearnsii De Wild.,Racosperma mearnsii (De Wild.) Pedley,Spermatophyta,Dicotyledonae,Fabaceae,Acacia,mearnsii,NA,ACAMEA,1870 - 1900,Low,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,,,,No,,,Yes,Locally common,,3,60,5,,No viability data,"1,000 - 10,000",,,
Berberis glaucocarpa Stapf,Berberis glaucocarpa Stapf,Spermatophyta,Dicotyledonae,Berberidaceae,Berberis,glaucocarpa,NA,BERGLA,1900 - 1940,Low,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,55,18,,Yes,No,No,No,Widespread,Hermaphrodite,2,9,7,3,No viability data,"1,000 - 10,000",2.5,1,10
Calystegia silvatica (Kit.) Griseb.,Calystegia silvatica (Kit.) Griseb.,Spermatophyta,Dicotyledonae,Convolvulaceae,Calystegia,silvatica,NA,CALSIL,1900 - 1940,Low,Phanerophyte,Phanerophyte,"Vines, Stem climbers",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,185,92,,No,No,No data available,No,,Hermaphrodite,8,2,1,,No viability data,"100 - 1,000",,5,
Carmichaelia australis R.Br.,Carmichaelia australis R.Br.,Spermatophyta,Dicotyledonae,Fabaceae,Carmichaelia,australis,NA,CARAUS,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,,Phyllodes,,,,No,No,Yes,Yes,Locally common,Hermaphrodite,,9,4,,Seed produced,"1,000 - 10,000",2.5,1.5,
Carpodetus serratus J.R.Forst. & G.Forst.,Carpodetus serratus J.R.Forst. & G.Forst.,Spermatophyta,Dicotyledonae,Rousseaceae,Carpodetus,serratus,NA,CARSER,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,50,25,5,No,No,Yes,No,Widespread,Hermaphrodite,5,5,4,4,No viability data,"1,000 - 10,000",1.4,,0
Chamaecytisus palmensis (H.Christ) F.A.Bisby & K.W.Nicholls,Chamaecytisus palmensis (H.Christ) F.A.Bisby & K.W.Nicholls,Spermatophyta,Dicotyledonae,Fabaceae,Chamaecytisus,palmensis,NA,CHAPAL,1900 - 1940,Low,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,32,,,No,No,Yes,Yes,Locally common,,6,45,,,No viability data,"> 10,000",5,,
Clematis foetida Raoul,Clematis foetida Raoul,Spermatophyta,Dicotyledonae,Ranunculaceae,Clematis,foetida,NA,CLEFOE,Not applicable,Low,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,70,60,,No,No,,No,Widespread,Monoecious,3,,,3,Seed produced,,2.6,,0
Clematis paniculata J.F.Gmel.,Clematis paniculata J.F.Gmel.,Spermatophyta,Dicotyledonae,Ranunculaceae,Clematis,paniculata,NA,CLEPAN,Not applicable,Low,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,130,,,No,No,Yes,No,Widespread,Dioecious,4,,,4,No viability data,"1,000 - 10,000",4.1,,3
Clematis vitalba L.,Clematis vitalba L.,Spermatophyta,Dicotyledonae,Ranunculaceae,Clematis,vitalba,NA,CLEVIT,1940 - 1970,Moderate,Phanerophyte,Phanerophyte,"Vines, Tendril climbers",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,220,120,2,No,Yes,Yes,No,Widespread,Hermaphrodite,6,2,,8,No viability data,"> 10,000",2.3,,2
Coprosma ciliata Hook.f.,Coprosma ciliata Hook.f.,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,ciliata,NA,COPCIL,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,13,5,,Yes,No,,,Widespread,,2,7,,4,Seed produced,,4,2.7,5
Coprosma linariifolia Hook.f.,Coprosma linariifolia Hook.f.,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,linariifolia,NA,COPLIN,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,25,3,,No,No,Yes,No,Widespread,Dioecious,,6,5,,No viability data,"1,000 - 10,000",5,2.7,
Coprosma robusta Raoul,Coprosma robusta Raoul,Spermatophyta,Dicotyledonae,Rubiaceae,Coprosma,robusta,NA,COPROB,Not applicable,,Phanerophyte,Phanerophyte,Woody species,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,110,35,,No,No,,,,,,8,,,Seed produced,,5.4,2.5,3
Corokia cotoneaster Raoul,Corokia cotoneaster Raoul,Spermatophyta,Dicotyledonae,Argophyllaceae,Corokia,cotoneaster,NA,CORCOT,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,9,6,,No,,,,Widespread,,,7,,,Seed produced,,5.3,,
Dacrycarpus dacrydioides (A.Rich.) de Laub.,Dacrycarpus dacrydioides (A.Rich.) de Laub.,Spermatophyta,Gymnospermae,Podocarpaceae,Dacrycarpus,dacrydioides,NA,DACDAC,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,5,1,,No,No,No,No,Widespread,Dioecious,,4,,,High viability,"> 10,000",5,,10
Digitalis purpurea L.,Digitalis purpurea L.,Spermatophyta,Dicotyledonae,Ericaceae,Digitalis,purpurea,NA,DIGPUR,,,Phanerophyte,Phanerophyte,"Herbaceous perennials, Rosette dicots",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,175,78,,,Yes,,,Widespread,,4,12,,2,No viability data,"> 10,000",,,0
Dracophyllum acerosum Berggr.,Dracophyllum acerosum Berggr.,Spermatophyta,Dicotyledonae,Ericaceae,Dracophyllum,acerosum,NA,DRAACE,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,70,1,,,,,,Locally common,,,,,,Seed produced,,,,
Eucalyptus globulus Labill.,Eucalyptus globulus Labill.,Spermatophyta,Dicotyledonae,Myrtaceae,Eucalyptus,globulus,NA,EUCGLO,1940 - 1970,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,220,37,,No,No,,No,Scattered,,4,25,15,,No viability data,,,,
Eucalyptus obliqua L'Hér.,Eucalyptus obliqua L'Hér.,Spermatophyta,Dicotyledonae,Myrtaceae,Eucalyptus,obliqua,NA,EUCOBL,1940 - 1970,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,150,48,,No,,,No,,,6,,8,,Seed produced,,,,
Eucalyptus viminalis Labill.,Eucalyptus viminalis Labill.,Spermatophyta,Dicotyledonae,Myrtaceae,Eucalyptus,viminalis,NA,EUCVIM,1940 - 1970,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,140,14,,No,No,No data available,No,Widespread,,10,7,6,,No viability data,,,,
Fuchsia ×colensoi Hook.f.,Fuchsia ×colensoi Hook.f.,Spermatophyta,Dicotyledonae,Onagraceae,Fuchsia,×colensoi,NA,FUCCOL,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)","Present in NZ (wild - endemic NZ native, extant)",,Deciduous,Broad leaved,55,30,,No,No,Yes,,,Dioecious,8,10,,,Seed produced,,0.8,,0
Fuchsia magellanica Lam.,Fuchsia magellanica Lam.,Spermatophyta,Dicotyledonae,Onagraceae,Fuchsia,magellanica,NA,FUCMAG,1900 - 1940,,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,70,22,,,,,,No data available,Hermaphrodite,,20,,,,,,,
Gaultheria antipoda G.Forst.,Gaultheria antipoda G.Forst.,Spermatophyta,Dicotyledonae,Ericaceae,Gaultheria,antipoda,NA,GAUANT,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,10,8,,No,No,No,No,Widespread,Hermaphrodite,4,10,10,5,No viability data,"1,000 - 10,000",0.58,,0
Gaultheria depressa Hook.f.,Gaultheria depressa Hook.f.,Spermatophyta,Dicotyledonae,Ericaceae,Gaultheria,depressa,NA,GAUDEP,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,8,5,,No,No,,No,Widespread,Hermaphrodite,4,,12,5,No viability data,10 - 100,0.53,,0
Hebe salicifolia (G.Forst.) Pennell,Hebe salicifolia (G.Forst.) Pennell,Spermatophyta,Dicotyledonae,Ericaceae,Hebe,salicifolia,NA,HEBSAL,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,100,18,,No,No,Yes,No,Widespread,Hermaphrodite,2,4,3,,No viability data,"> 10,000",0.8,,0
Hebe strictissima (Kirk) L.B.Moore,Hebe strictissima (Kirk) L.B.Moore,Spermatophyta,Dicotyledonae,Ericaceae,Hebe,strictissima,NA,HEBSTR,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,32,7,,,,,,Locally common,,2,,,,Seed produced,,1.3,,0
Hedera helix L.,Hedera helix L.,Spermatophyta,Dicotyledonae,Araliaceae,Hedera,helix,NA,HEDHEL,1940 - 1970,Moderate,Phanerophyte,Phanerophyte,"Vines, Root climbers",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,90,90,,No,Yes,,No,Widespread,Hermaphrodite,3,7,7,5,No viability data,,5.7,,20
Helichrysum lanceolatum (Buchanan) Kirk,Helichrysum lanceolatum (Buchanan) Kirk,Spermatophyta,Dicotyledonae,Asteraceae,Helichrysum,lanceolatum,NA,HELLAN,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,22,15,,No,,,,Widespread,,2,1,,1,Seed produced,,0.75,,0
Hoheria angustifolia Raoul,Hoheria angustifolia Raoul,Spermatophyta,Dicotyledonae,Malvaceae,Hoheria,angustifolia,NA,HOHANG,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,30,8,,No,No,,,Widespread,,4,,,3,Seed produced,,3,,1
Hoheria populnea A.Cunn.,Hoheria populnea A.Cunn.,Spermatophyta,Dicotyledonae,Malvaceae,Hoheria,populnea,NA,HOHPOP,Not applicable,Moderate,Phanerophyte,Phanerophyte,Woody species,"Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,130,50,,No,No,Yes,No,,Hermaphrodite,2,6,6,4,No viability data,"> 10,000",5,4,7
Juglans regia L.,Juglans regia L.,Spermatophyta,Dicotyledonae,Junglandaceae,Juglans,regia,NA,JUGREG,1940 - 1970,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,450,80,,,,,,,,1,43,40,,No viability data,,,,
Kunzea ericoides (A.Rich.) Joy Thomps.,Kunzea ericoides (A.Rich.) Joy Thomps.,Spermatophyta,Dicotyledonae,Myrtaceae,Kunzea,ericoides,NA,KUNERI,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,8,2,,No,No,Yes,No,Widespread,Hermaphrodite,6,3,3,8,Medium viability,"> 10,000",1.3,,0
Muehlenbeckia australis (G.Forst.) Meisn.,Muehlenbeckia australis (G.Forst.) Meisn.,Spermatophyta,Dicotyledonae,Polygonaceae,Muehlenbeckia,australis,NA,MUEAUS,Not applicable,Low,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - non endemic NZ native, extant)",,Evergreen,Broad leaved,75,20,,No,No,Yes,No,Widespread,Dioecious,6,4,4,6,High viability,"1,000 - 10,000",3.4,2.4,2
Muehlenbeckia complexa (A.Cunn.) Meisn.,Muehlenbeckia complexa (A.Cunn.) Meisn.,Spermatophyta,Dicotyledonae,Polygonaceae,Muehlenbeckia,complexa,NA,MUECOM,Not applicable,,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,13,9,,No,,,,Widespread,Dioecious,4,2,,4,Seed produced,,2.9,1.9,0
Myrsine divaricata A.Cunn.,Myrsine divaricata A.Cunn.,Spermatophyta,Dicotyledonae,Myrsinaceae,Myrsine,divaricata,NA,MYRDIV,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Tall shrubs (2.5m-5m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,10,7,,No,No,,,Widespread,,6,5,,9,Seed produced,,3,2.7,9
Neomyrtus pedunculata (Hook.f.) Allan,Neomyrtus pedunculata (Hook.f.) Allan,Spermatophyta,Dicotyledonae,Myrtaceae,Neomyrtus,pedunculata,NA,NEOPED,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,21,13,,No,No,No data available,,Widespread,Hermaphrodite,5,6,,4,No viability data,"1,000 - 10,000",2.3,,3
Olearia ilicifolia Hook.f.,Olearia ilicifolia Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Olearia,ilicifolia,NA,OLEILI,Not applicable,,Phanerophyte,Phanerophyte,Woody species,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,85,15,,,,,,,,3,2,,3,Seed produced,,2.1,,0
Olearia paniculata (J.R.Forst. & G.Forst.) Druce,Olearia paniculata (J.R.Forst. & G.Forst.) Druce,Spermatophyta,Dicotyledonae,Asteraceae,Olearia,paniculata,NA,OLEPAN,Not applicable,,Phanerophyte,Phanerophyte,Woody species,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,70,30,,,,,,,,3,3,,4,Seed produced,,3.3,,1
Parsonsia heterophylla A.Cunn.,Parsonsia heterophylla A.Cunn.,Spermatophyta,Dicotyledonae,Apocynaceae,Parsonsia,heterophylla,NA,PARHET,Not applicable,Low,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,60,25,,No,No,No data available,No,Widespread,Hermaphrodite,7,13,,5,No viability data,"1,000 - 10,000",5,3,0
Pennantia corymbosa J.R.Forst. & G.Forst.,Pennantia corymbosa J.R.Forst. & G.Forst.,Spermatophyta,Dicotyledonae,Pennantiaceae,Pennantia,corymbosa,NA,PENCOR,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,80,25,,No,No,Yes,No,Widespread,Dioecious,4,9,,5,No viability data,"> 10,000",5.5,,18
Pittosporum eugenioides A.Cunn.,Pittosporum eugenioides A.Cunn.,Spermatophyta,Gymnospermae,Pittosporaceae,Pittosporum,eugenioides,NA,PITEUG,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,90,33,1,No,No,Yes,No,Widespread,Hermaphrodite,3,5,,4,No viability data,"1,000 - 10,000",3.3,,5
Pittosporum tenuifolium Sol. ex Gaertn.,Pittosporum tenuifolium Sol. ex Gaertn.,Spermatophyta,Dicotyledonae,Pittosporaceae,Pittosporum,tenuifolium,NA,PITTEN,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,30,15,,No,No,Yes,No,Widespread,Hermaphrodite,2,12,10,3,No viability data,"1,000 - 10,000",3.3,,11
Plagianthus divaricatus J.R.Forst. & G.Forst.,Plagianthus divaricatus J.R.Forst. & G.Forst.,Spermatophyta,Dicotyledonae,Malvaceae,Plagianthus,divaricatus,NA,PLADIV,Not applicable,Low,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,15,,,No,,,No,Widespread,Monoecious,3,5,5,4,No viability data,"1,000 - 10,000",,,
Plagianthus regius (Poit.) Hochr.,Plagianthus regius (Poit.) Hochr.,Spermatophyta,Dicotyledonae,Malvaceae,Plagianthus,regius,NA,PLAREG,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)","Present in NZ (wild - endemic NZ native, extant)",,Deciduous,Broad leaved,75,28,,No,,,,Widespread,Dioecious,4,4,,3,Seed produced,,2.1,,4
Podocarpus hallii Kirk,Podocarpus hallii Kirk,Spermatophyta,Gymnospermae,Podocarpaceae,Podocarpus,hallii,NA,PODHAL,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,25,35,,,,,,,,,,,,No viability data,,7.5,,12
Podocarpus totara G.Benn. ex D.Don,Podocarpus totara G.Benn. ex D.Don,Spermatophyta,Gymnospermae,Podocarpaceae,Podocarpus,totara,NA,PODTOT,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,22,3,,No,No,No,No,Widespread,,,6,4,,No viability data,"> 10,000",4,3,8
Prunus cerasifera Ehrh.,Prunus cerasifera Ehrh.,Spermatophyta,Gymnospermae,Rosaceae,Prunus,cerasifera,NA,PRUCER,1940 - 1970,,Phanerophyte,Phanerophyte,"Woody species, Medium trees (6-10m)",Present in NZ (wild - naturalised exotic),,Deciduous,Broad leaved,111,40,,,,,,No data available,Hermaphrodite,,23,,,,,,,
Pseudopanax colensoi (Hook.f.) Philipson,Pseudopanax colensoi (Hook.f.) Philipson,Spermatophyta,Dicotyledonae,Araliaceae,Pseudopanax,colensoi,NA,PSDCOL,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Small trees (3-6m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,110,65,,,,,,,,6,5,,6,Seed produced,,4,,3
Pseudopanax crassifolius (Sol. ex A.Cunn.) K.Koch,Pseudopanax crassifolius (Sol. ex A.Cunn.) K.Koch,Spermatophyta,Dicotyledonae,Araliaceae,Pseudopanax,crassifolius,NA,PSECRA,Not applicable,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,150,25,,,,,,Widespread,Dioecious,4,5,,4,Seed produced,,2.9,,3
Pseudotsuga menziesii (Mirb.) Franco,Pseudotsuga menziesii (Mirb.) Franco,Spermatophyta,Dicotyledonae,Pinaceae,Pseudotsuga,menziesii,NA,PSEMEN,1900 - 1940,,Phanerophyte,Phanerophyte,"Woody species, Large trees (> 10m)",Present in NZ (wild - naturalised exotic),,Evergreen,Needle leaved,28,2,,No,No,No,No data available,Locally common,,,75,,,No viability data,,,,
Ripogonum scandens J.R.Forst. & G.Forst.,Ripogonum scandens J.R.Forst. & G.Forst.,Spermatophyta,Monocotyledonae,Ripogonaceae,Ripogonum,scandens,NA,RIPSCA,Not applicable,Moderate,Phanerophyte,Phanerophyte,"Vines, Stem climbers","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,110,40,,No,No,Yes,No,Widespread,Hermaphrodite,2,10,10,,No viability data,"100 - 1,000",8,8,130
Rubus caesius L.,Rubus caesius L.,Spermatophyta,Dicotyledonae,Rosaceae,Rubus,caesius,NA,RUBECH,1940 - 1970,,Phanerophyte,Phanerophyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - casual exotic),,,Broad leaved,,,,,,,,,Hermaphrodite,,,,,,,,,8
