TaxonName,SpeciesName_alt,Division,Class,Family,Genus,species,subspecies,Sp.code,NaturalisationPeriod,ShadeTolerance,RaunkierLifeMode,lifeform,EslerLifeMode,WeedBiostatus,MeanPlantHeight,LeafLongevity,LeafForm,MeanMaximumLeafLength,LeafWidth,MinimumJulvenilePeriod,SpinesBurrs,Poisonous,AnimalPalatability,NitrogenFixer,Distribution,SexualReproductiveSystem,FlowerPeriodLength,MeanLongFruitLength,MeanShortFruitLength,FruitingPeriodLength,SeedProductionViability,SeedPerPlant,SeedLength,SeedWidth,MeanSeedMass
Medicago sativa L.,Medicago sativa L.,Spermatophyta,Dicotyledonae,Fabaceae,Medicago,sativa,NA,MEDSAT,1870 - 1900,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.6,Evergreen,Broad leaved,27,15,,No,Yes,Yes,Yes,Locally common,Hermaphrodite,7,5,5,,No viability data,"1,000 - 10,000",3,,
Silene coronaria (L.) Clairv.,Lychnis coronaria (L.) Desr.,Spermatophyta,Dicotyledonae,Caryophyllaceae,Silene,coronaria,NA,SILCOR,1870 - 1900,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),0.6,Evergreen,Broad leaved,180,30,,No,No,,No,Widespread,,,2,,,Seed produced,,1.2,,
Tragopogon porrifolius L.,Tragopogon porrifolius L.,Spermatophyta,Dicotyledonae,Asteraceae,Tragopogon,porrifolius,NA,TRAPOR,1840 - 1870,Low,Chamaephyte,Chamaephyte,"Annuals, Form - erect, Phenology - summer-flowering/ow",Present in NZ (wild - naturalised exotic),0.65,Deciduous,Broad leaved,175,10,,No,No,Yes,No,Scattered,Hermaphrodite,7,10,,7,No viability data,,11,,
Iris foetidissima L.,Iris foetidissima L.,Spermatophyta,Monocotyledonae,Iridaceae,Iris,foetidissima,NA,IRIFOE,1900 - 1940,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Iridoform perennials",Present in NZ (wild - naturalised exotic),0.7,Evergreen,Broad leaved,1000,20,,No,Yes,No,No,Widespread,Hermaphrodite,2,60,,,No viability data,"100 - 1,000",5,5,48
Acaena anserinifolia (J.R.Forst. & G.Forst.) J.B.Armstr.,Acaena anserinifolia (J.R.Forst. & G.Forst.) J.B.Armstr.,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,anserinifolia,NA,ACAANS,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,42,6,,Yes,,,,Widespread,Hermaphrodite,4,3,1,5,No viability data,,3,1.2,0
Acaena caesiiglauca (Bitter) Bergmans,Acaena caesiiglauca (Bitter) Bergmans,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,caesiiglauca,NA,ACACAE,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,43,,,,,,,Widespread,,,4,,,Seed produced,,,,2
Acaena dumicola B.H.Macmill.,Acaena dumicola B.H.Macmill.,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,dumicola,NA,ACADUM,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,43,,,Yes,,,,,,2,3,2,2,Seed produced,,,,
Acaena juvenca B.H.Macmill.,Acaena juvenca B.H.Macmill.,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,juvenca,NA,ACAJUV,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,43,17,,Yes,,,,,,3.5,3,2,,Seed produced,,,,0
Acaena spp. L.,Acaena spp. L.,Spermatophyta,Dicotyledonae,Rosaceae,Acaena,spp.,NA,ACAENA,,,,Chamaephyte,,,,,,,,,,,,,,,,,,,,,,,
Carpobrotus edulis (L.) N.E.Br.,Carpobrotus edulis (L.) L.Bolus,Spermatophyta,Monocotyledonae,Aizoaceae,Carpobrotus,edulis,NA,CAREDU,1870 - 1900,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,95,15,,No,No,No,No,Widespread,Hermaphrodite,5,,,5,No viability data,No data available,1.15,,
Clinopodium vulgare L.,Clinopodium vulgare L.,Spermatophyta,Dicotyledonae,Lamiaceae,Clinopodium,vulgare,NA,CLIVUL,1900 - 1940,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),,Semi-evergreen,Broad leaved,23,16,,No,No,,No,Widespread,,6,10,,,Seed produced,,10,10,0
Cotyledon orbiculata L.,Cotyledon orbiculata L.,Spermatophyta,Dicotyledonae,Crassulaceae,Cotyledon,orbiculata,NA,COTORB,1940 - 1970,,,Chamaephyte,"Woody species, Spreading to erect small shrubs",Present in NZ (wild - naturalised exotic),,,Broad leaved,110,90,,,,,,Locally common,,7,25,,,Seed produced,,0.7,,
Disphyma australe (W.T.Aiton) N.E.Br.,Disphyma australe (W.T.Aiton) N.E.Br.,Spermatophyta,Dicotyledonae,Aizoaceae,Disphyma,australe,NA,DISAUS,Not applicable,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",,Evergreen,Broad leaved,25,5,,No,No,,No,Widespread,Hermaphrodite,4,,,,Seed produced,,1,,
Epilobium nummulariifolium A.Cunn.,Epilobium nummulariifolium A.Cunn.,Spermatophyta,Dicotyledonae,Onagraceae,Epilobium,nummulariifolium,NA,EPINUM,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,10,7,,,,,,Widespread,,9,30,,7,Seed produced,,0.7,,0
Heliohebe lavaudiana (Raoul) Garn.-Jones,Heliohebe lavaudiana (Raoul) Garn.-Jones,Spermatophyta,Dicotyledonae,Ericaceae,Heliohebe,lavaudiana,NA,HEBLAV,Not applicable,,Chamaephyte,Chamaephyte,<null>,"Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,25,15,,No,,,,,,3,,,,Seed produced,,2.1,,0
Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Pseudognaphalium luteoalbum (L.) Hilliard & B.L.Burtt,Spermatophyta,Dicotyledonae,Asteraceae,Pseudognaphalium,luteoalbum,NA,PSELUT,Not applicable,Low,Chamaephyte,Chamaephyte,"Annuals, Form - erect, Phenology - all seasons/ow","Present in NZ (wild - non endemic NZ native, extant)",,Semi-evergreen,Broad leaved,25,4,,No,No,No data available,No,Widespread,Hermaphrodite,8,5,,8,No viability data,"100 - 1,000",0.6,0.3,0
Raoulia subsericea Hook.f.,Raoulia subsericea Hook.f.,Spermatophyta,Dicotyledonae,Asteraceae,Raoulia,subsericea,NA,RAOSUB,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,4,2,,,,,,Widespread,,,1,,,Seed produced,,1,,
Schizeilema trifoliolatum (Hook.f.) Domin,Schizeilema trifoliolatum (Hook.f.) Domin,Spermatophyta,Monocotyledonae,Apiaceae,Schizeilema,trifoliolatum,NA,SCHTRI,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,18,10,,,,,,Widespread,,5,3,,5,Seed produced,,1.9,,0
Sedum praealtum A.DC.,Sedum praealtum A.DC.,Spermatophyta,Dicotyledonae,Crassulaceae,Sedum,praealtum,NA,SEDPRA,1940 - 1970,,,Chamaephyte,"Herbaceous perennials, Erect dicots",Present in NZ (wild - naturalised exotic),,,Broad leaved,43,15,,,,,,,,11,,,,,,,,
Senecio glaucophyllus Cheeseman,Senecio glaucophyllus Cheeseman,Spermatophyta,Dicotyledonae,Asteraceae,Senecio,glaucophyllus,Cheeseman,SENGLA,Not applicable,,Chamaephyte,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - endemic NZ native, extant)",,,Broad leaved,50,19,,,,,,Scattered,,7,3,1,,Seed produced,,,,0
Trifolium repens L.,Trifolium repens L.,Spermatophyta,Dicotyledonae,Fabaceae,Trifolium,repens,NA,TRIREP,1840 - 1870,Low,Chamaephyte,Chamaephyte,"Herbaceous perennials, Mat-forming dicots",Present in NZ (wild - naturalised exotic),,Evergreen,Broad leaved,15,,,No,No,Yes,Yes,Widespread,Hermaphrodite,9,4,4,,High viability,,1,,0
Wahlenbergia gracilis (G.Forst.) A.DC.,Wahlenbergia gracilis (G.Forst.) A.DC.,Spermatophyta,Dicotyledonae,Campanulaceae,Wahlenbergia,gracilis,NA,WAHGRA,Not applicable,,,Chamaephyte,"Herbaceous perennials, Erect dicots","Present in NZ (wild - non endemic NZ native, extant)",,,Broad leaved,25,5,,,,,,Widespread,,8,8,,8,Seed produced,,0.6,,0
