obs,spcode,name,date,rep,subrep,subpicture,type,nb.leaves,nb.leaves.num,photo#,date measured,total area,leaf area,dry mass,SLA,comment
32,VITGRA,Vittadinia gracilis,30-Nov,3,,,leaves,14        ,14.0000,315,3-Dec,,,,,
33,VITGRA,Vittadinia gracilis,30-Nov,4,,,leaves,10        ,10.0000,317,3-Dec,,,,,
34,VITGRA,Vittadinia gracilis,30-Nov,5,,,leaves,20        ,20.0000,322,3-Dec,,,,,
36,VITGRA,Vittadinia gracilis,30-Nov,7,,,leaves,12        ,12.0000,320,3-Dec,,,,,"was initially written ""4"" on the paper bag"
37,SILMAR,Silybum marianum,30-Nov,1,,1,leaves,   1/6  ,0.1667,336,3-Dec,,,,,
37,SILMAR,Silybum marianum,30-Nov,1,,2,leaves,   1/6  ,0.1667,340,3-Dec,,,,,
37,SILMAR,Silybum marianum,30-Nov,1,,3,leaves,   1/6  ,0.1667,338,3-Dec,,,,,
37,SILMAR,Silybum marianum,30-Nov,1,,4,leaves,   1/6  ,0.1667,344,3-Dec,,,,,
,SILMAR,Silybum marianum,30-Nov,1,,5,leaves,   1/6  ,0.1667,341,3-Dec,,,,,to be analysed manually: need to assemble top and bottom part of pictures
37,SILMAR,Silybum marianum,30-Nov,1,,6,leaves,   1/6  ,0.1667,343,3-Dec,,,,,to be analysed manually: need to assemble top and bottom part of pictures
38,SILMAR,Silybum marianum,30-Nov,2,,1,leaves,   1/3  ,0.3333,349,3-Dec,,,,,
38,SILMAR,Silybum marianum,30-Nov,2,,2,leaves,   1/3  ,0.3333,350,3-Dec,,,,,
38,SILMAR,Silybum marianum,30-Nov,2,,3,leaves,   1/3  ,0.3333,351,3-Dec,,,,,
39,SILMAR,Silybum marianum,30-Nov,3,,1,leaves,   1/3  ,0.3333,353,3-Dec,,,,,
39,SILMAR,Silybum marianum,30-Nov,3,,2,leaves,   1/3  ,0.3333,356,3-Dec,,,,,
39,SILMAR,Silybum marianum,30-Nov,3,,3,leaves,   1/3  ,0.3333,359,3-Dec,,,,,
40,SILMAR,Silybum marianum,30-Nov,4,,1,leaves,   2/3  ,0.6667,361,3-Dec,,,,,
40,SILMAR,Silybum marianum,30-Nov,4,,2,leaves,   2/3  ,0.6667,363,3-Dec,,,,,
40,SILMAR,Silybum marianum,30-Nov,4,,3,leaves,   2/3  ,0.6667,364,3-Dec,,,,,
