"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"RYTCLA",279,273,824.576346798187,0.026412498895885,-0.147739171294988,0.000387414211302982,279,269,662.687975601569,846.946315419067,0.217556102981955,1819.76963419888,1731.07892940502,1715.11294145303,1682.37855587255,1662.8762954353,1653.51129438139,90.6907047938619,17.9659879519946,34.7343855804743,21.5022604372532,19.3650010539141,0.00150145267160294,9.11019233292314e-25,0.00873122458115555,0.000799397296480835,-0.231463652915449,8.00672301683854e-10,0.0276999965152006,1.02856827552598e-06,0.942661250982493
"RYTGRA",29,25,83.5580932687156,0.0941416413534459,0.0323743024412274,0.0282081355569511,29,21,43.1289244651171,92.2418968386625,0.532436713215551,227.840704581858,189.779042223816,187.382840448959,187.142707630287,188.87456592466,192.727732208313,40.0616623580423,4.39620177485676,2.24013281867238,0.268141705626739,2.14683371634712,0.00226643258591459,2.39844391327429e-06,0.00466350425104915,0.125717474656612,-0.158421755150921,0.101370252292219,0.00681098855267468,0.677322465819136,0.853700656877017
"RYTRAC",100,94,232.558263823756,0.141688283001801,-0.354083037791654,7.20971469656658e-05,100,90,184.420457961311,270.948490179174,0.319352332100627,616.67125374086,564.763653528011,563.421490511197,565.327871092921,555.616180652923,548.143221522997,53.9076002128486,3.34216301681423,0.0936194182757504,11.7116904399988,17.4729591299257,0.00161387100338759,2.08104792416128e-08,0.00850717958417138,0.0404125923072661,0.0653803375710153,0.37077301106356,0.0236532673482311,0.00517850270873496,0.79546319609317
"RYTUNA",57,53,122.772179496192,0.0252862769730465,0.162579439253994,0.111444915429515,57,49,88.3283699996681,125.957167315677,0.298742803747742,354.565816750662,334.292041252119,332.648606618121,329.398257886796,330.558045206795,330.937019434653,22.2737754985428,3.64343463399848,5.25034873132506,0.840212680000761,5.62102577214169,0.00144057395778,1.15454003627809e-07,0.0110477107782007,0.0363639926095339,-0.156294824557476,0.0167604798367339,0.0114367640025295,0.307201659603244,1.18811781986253
"SILGAL",97,93,217.962152180895,0.0488123564235415,0.388993321587047,0.00165583046367886,97,89,198.83397273789,229.147375549748,0.132287802725793,557.021388915727,558.175036747071,538.277546407798,539.7923643693,539.190272547872,540.707986103868,0.846352168655386,21.8974903392731,0.485182038497783,2.60209182142816,4.4822864440039,-0.00034861493258343,0.406701718572307,0.015261407886371,9.9603079699219e-05,-0.0167522900614958,0.845488876476045,0.0114509308779017,0.218628737770805,1.29200364782223
"STEMED",82,78,341.898179717775,0.0241611149640815,-0.504024444568637,0.0821586505060995,82,74,221.990233641261,350.363348868999,0.366399954910057,606.227099892609,607.693277231254,558.38109890206,540.855906602745,492.047696625693,491.853984664871,0.533822661355202,51.3121783291937,19.5251922993152,50.8082099770519,6.19371196082184,0.000944806018807078,0.0100549327350722,0.0326995557090536,2.68175643437217e-12,-0.506463992358719,2.08581866778706e-08,0.0905376528496631,3.28130222352498e-13,0.638318872715478
"TAROFF",172,168,892.657588815011,0.0252235877289826,-5.07226366327851,0.000326245664878646,172,164,632.44956520273,915.756246845687,0.309369095344754,1344.73679848147,1248.79761794803,1178.83081712677,1087.44600979076,1079.96150637176,1075.43011683851,97.9391805334312,71.9668008212608,93.384807336013,9.48450341899934,10.5313895332531,0.00212665213023666,8.88785392980139e-21,0.0289147806792033,3.27529197916873e-10,-0.555332655181219,3.46210773420995e-23,0.0293132785562098,0.00474178841110935,0.0103877856208653
"TRIDUB",406,401,1646.5929939146,0.00919947983451046,0.153345762363647,0.00105825120726834,406,397,1255.66029479942,1661.88143869724,0.244434491197073,3004.73835332644,2802.91848776907,2680.72001642832,2627.4126114055,2614.41267906438,2614.51720942862,203.819865557374,124.198471340749,55.3074050228183,14.9999323411198,7.89546963575958,0.00151781469677677,1.16576344918418e-40,0.0174503708279382,2.47072222617549e-24,-0.250448075347048,3.52856184058567e-15,0.0182583443176941,0.000177603623465677,1.08997365602546
"TRIGLO",193,188,463.519177017955,0.0271074122526335,-0.0571350283979316,0.0277239443289265,193,184,397.783978909918,476.434071813813,0.165080747908034,1122.9839145214,1118.41900768799,1085.2086527426,1081.64896478593,1066.92091064684,1060.3338216175,6.56490683340485,35.2103549453961,5.55968795667263,16.7280541390832,14.5870890293374,0.000309436256216444,0.206033666195282,0.0161448273405064,1.22840501238695e-06,-0.141372976514263,0.00951937453361478,0.0254875929206361,0.000148697074611641,0.922321902648396
"TRIPRA",68,63,172.438843025697,0.134903357715957,-0.0642449640098127,7.80577883953191e-06,68,59,113.275157792599,199.328993545069,0.431717605261538,342.507448223352,331.882442592087,314.273023991373,288.932272157949,284.776249869542,272.453612470882,12.6250056312648,19.6094186007135,27.3407518334244,6.1560222884068,20.3226373986603,0.00195893451940365,0.00257577026416257,0.0135272886071622,0.203556486618066,-0.638441431463883,1.22297671770373e-07,0.0177053530357206,0.464752762809174,1.01830337815356
"TRIREP",520,515,2412.82159900688,0.0738226871595557,-0.430925209249167,5.62752134684351e-31,520,511,1715.52626604465,2605.14003696239,0.34148405010697,4174.19927273343,3737.23691936985,3522.62093340509,3424.03058863621,3402.74948720576,3300.5855018157,438.962353363586,216.615985964761,100.590344768877,23.2811014304482,110.163985390065,0.00197412086195406,5.12316986745925e-80,0.0152281197422881,4.60272284016203e-22,-0.291045589854319,3.12892676364087e-24,0.0213478722258855,4.28719952380439e-07,0.703862478293971
"TRISTT",182,177,509.151166676921,0.0280548651798373,-0.210812791142325,0.00672824539363628,182,173,417.467614439516,523.847641637847,0.2030743650305,1128.89007280923,1115.77888125523,1054.22731169469,1056.14291469938,1044.32795850358,1038.5100456109,15.1111915540021,63.5515695605415,0.0843969953102146,13.8149561957933,13.8179128926836,0.00020575930098096,0.369678796707885,0.0228779607899517,9.54338724234707e-15,-0.0338391989177549,0.528847189594558,0.023177974633093,0.000583907658341776,0.79577997756662
"TRISUB",132,127,417.14384977217,0.0571110734162183,-0.608329737943772,0.00824929732317881,132,123,277.02531394895,442.410381553149,0.373827275534515,837.135642745898,806.499654177076,722.193859517963,723.391032789356,691.617473153532,687.7505751417,32.6359885688228,86.3057946591127,0.802826728607215,33.7735596358239,11.8668980118323,0.00142924903414508,3.00049098530561e-07,0.0340158274496252,5.37245005137775e-11,-0.0374229602108644,0.563107782956318,0.0494426449575325,5.03203210340691e-08,0.597981828815309
"VICSAT",317,312,1308.49249820336,0.0190130062727501,-0.0328501902612872,3.92766326447489e-05,317,308,972.194708084383,1333.85305469929,0.27113807277402,2444.42225560218,2236.79341729506,2139.60346213836,2099.85541547255,2100.13477374978,2098.76390898728,209.628838307121,99.1899551566942,41.7480466658121,1.7206417227718,9.37086476250408,0.0015882970863309,8.66946628978215e-37,0.0150457742392505,1.28247037715639e-20,-0.214019905241805,8.78008626967436e-11,0.00600557909114636,0.226994873594969,0.895861698682017
"VIOCUN",39,35,112.85341784996,0.0991830027118517,0.332558079811052,0.000831056985117108,39,31,70.399431784948,125.278961420242,0.438058625431954,304.741809462142,272.382171390147,257.378347173453,259.378072319142,261.260854871277,263.862279826848,34.3596380719953,17.0038242166939,0.000274854311300032,0.117217447865031,3.39857504442854,0.00138461542918992,0.000860102189165025,0.01106476249473,2.63563214150942e-05,0.0156591977327838,0.833151770751608,0.000824636629575536,0.946098942537333,1.14903849936685
"VULBRO",205,200,554.050472145491,0.00934628411604966,0.0129622781699303,0.0543848933637492,205,196,458.566104747458,559.277639867446,0.180074310040105,1246.78816894081,1227.95643248167,1198.83804100061,1197.64049982868,1161.86278877548,1162.07663382082,20.8317364591417,31.1183914810575,3.19754117193543,37.7777110531982,7.78615495465573,0.000806672474642111,2.73934748721688e-05,0.0130954398841178,6.66303577018533e-06,-0.0692917249580298,0.16059386086886,0.0429875434176075,1.15754247981607e-10,1.10906781232724
"WAHGRA",143,139,367.710234784208,0.0131532487318045,0.170868913488572,0.0418981311921056,143,135,298.307324364875,372.611283678711,0.19941414167668,928.498306708777,915.964815159547,892.303562710283,870.958007279668,868.092464514787,868.19434739494,14.5334915492297,25.6612524492637,23.3455554306152,4.86554276488096,5.89811711984675,0.000711126684130856,0.000120849895849719,0.0137103700198593,4.00227791855674e-07,-0.244172347547857,1.20593118979102e-07,0.012651687480601,0.0637826228714586,1.1376019052719
