"","nobs","df","resid.dev","dev.ratio","abun.meanc","abun.minP","nobs","df","resid.dev","null.dev","dev.ratio","aic.null","aic.DEM_10","aic.SLOPE","aic.Northern","aic.SRali","aic.abun","dev.DEM_10","dev.SLOPE","dev.Northern","dev.SRali","dev.abun","DEM10.c","DEM10.P","SLOPE.c","SLOPE.P","Northness.c","Northness.P","SRali.c","SRali.P","abun.meanc"
"BROHOR",350,345,1295.50253100924,0.00470035605484112,-0.0586739231277179,0.174627688377496,350,341,1036.66071084202,1301.62061133081,0.20356154334241,2350.4814150724,2294.9586601283,2203.85856544655,2156.64437698394,2094.3374921978,2101.52151458361,57.5227549441038,93.1000946817478,49.2141884626114,64.3068847861382,0.815977614189478,0.000928106797715362,1.87418643073712e-09,0.0178627928902072,1.44776936226683e-14,-0.283014041084998,2.42638734991709e-14,0.0421408330865712,8.56999268916052e-16,0.961077511064645
"CALTUG",32,29,118.166595409275,0.116637761159745,0.472468458572422,5.37193138729487e-05,32,25,75.023719058451,133.769126880964,0.43915520114584,252.716411607003,210.901103668666,212.719017930178,214.626613238119,216.138149719533,205.97100378449,43.8153079383367,0.182085738488453,0.0924046920590058,0.488463518585817,14.1671459350432,0.00265786682356437,8.54470095425558e-09,-0.00644428048954495,0.373968229779101,-0.155059599208005,0.225287414127799,0.0208343324276087,0.146027227342261,1.64060783285228
"CARBRE",64,60,193.457380435538,0.0325580738833373,-0.0955367301664032,0.0412209466401858,64,56,115.599422161877,199.967951784022,0.421910255465681,468.882363900511,403.867354033274,398.74292977155,391.911929618442,393.688758380944,398.513834278366,67.0150098672374,7.12442426172362,8.83100015310798,0.223171237497979,1.17492410257874,0.00176475343729668,3.23985757673058e-13,0.0170058905337634,0.00385385339491809,-0.16743195506458,0.00982721511715277,-0.00589625222072522,0.551724233120199,0.90771728004908
"CARPYC",161,155,485.713641102698,0.0565559245877129,-0.663862859841047,0.000780653754158889,161,151,381.381759416385,514.830347406062,0.259208861058888,1042.22997255673,1043.40484456051,1023.0389813558,997.40198983828,956.024903033994,926.781384567053,0.825127996218043,22.3658632047142,27.6369915175176,43.3770868042863,39.2435184669409,0.000121464285487652,0.64086392794121,0.0145991209979263,4.67778992168802e-06,-0.269618113671705,1.53890295726751e-06,0.0557609820126575,1.5514944295979e-14,0.501646714488326
"CARTEN",24,21,84.5530887939724,0.085255001067293,-0.229185436308995,0.0179951770605543,24,17,31.2852452640784,92.4335075814856,0.661537833166197,172.518474546099,149.837246661323,122.23310053882,122.5265204189,123.155491685645,123.370212228691,24.6812278847756,29.6041461225032,1.7065801199201,1.37102873325436,3.78527945695398,0.00142239261469478,0.0190510434739202,0.0274313278550948,4.28096615768181e-06,0.186274272183417,0.226218234066499,-0.00596181309912716,0.815004889852529,1.18752000632551
"CERFSV",373,369,1841.88775924354,0.00574993256129424,0.240070352707382,0.0208614029715633,373,365,1328.40176368386,1852.53973780302,0.28292940951472,3015.62700530889,2800.07469398727,2629.45574257537,2545.14412338517,2524.97381058338,2505.48903118972,217.552311321612,172.618951411904,86.311619190202,22.1703128017846,25.4847793936599,0.00190743431732986,4.68388901471271e-44,0.0216894733854231,3.23705305435952e-36,-0.364782412112835,1.47930767922863e-25,0.0282622855965218,3.722648456382e-07,1.16766215235823
"CERGLO",168,163,690.057805665915,0.00938307978287465,-0.306130451108979,0.0599935912977703,168,159,544.206144815163,696.59400277018,0.218761369390216,1232.56463329326,1204.12582699226,1113.59537166956,1111.19038201224,1099.51107800439,1096.17677533825,30.4388063010061,92.5304553226958,4.40498965731808,13.6793040078513,11.3343026661449,0.000972968243717548,1.54911990314382e-06,0.023639274600597,1.59996894843174e-17,-0.118671274230226,0.0252541411698765,0.0305324838716701,2.14959277735047e-05,0.757229670055809
"CIRARV",73,68,385.576272125887,0.0660947550116825,-0.0603304174492694,0.000102707812418224,73,64,231.367918257668,412.864446575316,0.439603191369831,630.856130568697,601.066959041914,525.285617686326,526.228156742542,476.660103547432,465.359602251049,31.7891715267828,77.781341355588,1.05746094378401,51.5680531951097,19.3005012963833,0.000723423880810899,0.0227886531988614,0.0421292728951926,7.70494378209648e-24,-0.0767299789791032,0.372526358892345,0.0828791657775962,1.61248489167611e-09,1.19407013655361
"CIRVUL",319,314,1133.34453094562,0.0226791357628598,-3.48488145435707,8.44104294006622e-06,319,310,918.74687614133,1159.64426056765,0.207733865132399,2116.53820878027,2080.14888961675,1976.5103665779,1960.45763212686,1896.53532632739,1891.64082435395,38.3893191635195,105.638523038854,18.0527344510419,65.9223057994702,12.8945019734356,0.000836164926086362,5.13707849989407e-07,0.0212797568018509,1.15790147356702e-16,-0.198246747576896,1.82517355327873e-06,0.0447772324921985,9.47164041330875e-16,0.033365546341969
"CONVER",33,30,45.5731693440491,0.0132507604421923,0.0190022925988804,0.530639486833683,33,26,32.8517127593357,46.1851578061229,0.288695452828344,168.955659040865,168.290659203473,167.468745192603,165.951483749371,165.689147813456,167.622213994078,2.66499983739227,2.82191401087054,3.51726144323145,2.26233593591549,2.06693381937743,-0.00139387773593478,0.103554297508796,0.0105136958431877,0.116730856490692,-0.296922898626787,0.11400450340051,0.0299767096151282,0.0881816206252076,1.22992038571666
