"","signif","elev.R","elev.df","elev.P","slope.R","slope.df","slope.P","north.R","north.df","north.P","SRali.R","SRali.df","SRali.P","elev.slope","elev.slope.P","north.slope","north.slope.P","inter.slope","inter.P","total.R2","elev.R2"
"HYPGLA",NA,0.123719637047249,45,0.407370598883264,0.194781386057156,45,0.189519026019489,-0.01500192515514,45,0.920277540401469,-0.0926279274230859,45,0.535745767263997,0.000581142689925524,0.407370598883264,NA,NA,NA,NA,-0.00657552810687245,0.0153065485911029
"HYPRAD",NA,0.196803169229636,540,3.90457255809933e-06,0.0952659479293659,540,0.0265683320409241,-0.102591591064444,540,0.0168843393146574,-0.0704991981619002,540,0.101101783003148,0.0010844315216131,3.9045725580998e-06,NA,NA,NA,NA,0.0369513605436784,0.0387314874188288
"LEOTAR",NA,-0.205013815439478,48,0.153228127502079,-0.044329166587502,48,0.759850833179777,0.0379228144782356,48,0.793732849218636,-0.0293948175626108,48,0.839416993455249,-0.00197592109904208,0.153228127502079,NA,NA,NA,NA,0.0220729700319077,0.0420306645210523
"LOLPER",1,-0.0886848524561979,519,0.043032373045228,-0.189677875125061,519,1.30831918173799e-05,0.00188483452968966,519,0.965766220906705,-0.000354038581992563,519,0.993567786593544,-0.00112555238139461,0.00275915678533491,-0.569086411075085,0.00127018543311544,0.00218594347231771,0.000138899290459827,0.0297774412255728,0.00786500305517759
"PHLPRA",NA,-0.274587384612384,27,0.149434157787364,-0.134307746750301,27,0.487298549713385,0.191194100083659,27,0.320453409059816,-0.0507030549446638,27,0.793936975876723,-0.00209872259052518,0.149434157787364,NA,NA,NA,NA,0.0411537218545017,0.0753982317882695
"PLALAN",NA,-0.143371740354262,161,0.0678796133129509,0.0220983786816423,161,0.779480467204671,0.160940717561624,161,0.0401367361086121,0.0771019283045797,161,0.327949206538042,-0.000890759186514337,0.067879613312951,NA,NA,NA,NA,0.0144719494473169,0.0205554559322098
"POAPRA",NA,-0.0504174672103277,236,0.438812339854777,-0.184541650392681,236,0.00428264077383673,-0.00720321918342059,236,0.911979362547725,0.0884278581387847,236,0.173930801177975,-0.000247819924470767,0.438812339854779,NA,NA,NA,NA,-0.0016845962839942,0.00254192099990447
"POLTET",NA,0.113823757016498,47,0.436136783693906,0.0837624186814831,47,0.567181350272826,-0.0492393857561125,47,0.736884662529687,0.055258474962532,47,0.706090299016472,0.000826731697318518,0.436136783693906,NA,NA,NA,NA,-0.00804509175010981,0.0129558476613507
"RUMACE",NA,-0.0364771918760041,233,0.577945445974764,-0.0365486829017815,233,0.577199882631916,0.0611529452921951,233,0.350648562368261,0.117665739829628,233,0.071793890298877,-0.000164501328850757,0.577945445974767,NA,NA,NA,NA,-0.00295554929890507,0.00133058552715882
"RYTCAE",NA,-0.286013032937553,37,0.0775437940997207,-0.164157026996857,37,0.317987759360694,0.395459358639217,37,0.0127096965900274,-0.11925179528126,37,0.469628511809418,-0.00354037356204771,0.0775437940997208,NA,NA,NA,NA,0.0569873321725741,0.0818034550101378
"RYTRAC",NA,-0.339536934428824,98,0.000548364193467533,0.113331534026568,98,0.26156992321241,0.158463376363163,98,0.115330801926023,-0.18409635617131,98,0.0667248581414939,-0.0036651892897087,0.000548364193467533,NA,NA,NA,NA,0.106257629125419,0.115285329841323
"SILGAL",NA,-0.0463514825729587,95,0.652109498928259,0.14349356604897,95,0.160857077682418,-0.0728339552279422,95,0.478340332252424,0.154746903866769,95,0.130164114155993,-0.000312468733223178,0.652109498928257,NA,NA,NA,NA,-0.00835524048500758,0.0021484599367113
"STEMED",NA,0.205330414818326,80,0.0642310935855728,-0.0514457264407381,80,0.646224713982688,-0.130474876142857,80,0.2426598515884,-0.0991627058094937,80,0.375424408814748,0.00104556656668942,0.0642310935855733,NA,NA,NA,NA,0.0301875864900844,0.0421605792494659
