"","df.alone","percdev.abun.alone","deltaAIC.alone","df","est.elev","P.elev","percdev.elev","est.slope","P.slope","percdev.slope","est.north","P.north","percdev.north","est.SRali","P.SRali","percdev.SRali","percdev.abun","total.deltaAIC","dev.ratio.actual","deltaAIC.actual","coef.c2","coef.c3","coef.c4","coef.c5","coef.c6","signif.boot.c2","signif.boot.c3","signif.boot.c4","signif.boot.c5","signif.boot.c6","coef.nocovar.c2","coef.nocovar.c3","coef.nocovar.c4","coef.nocovar.c5","coef.nocovar.c6","signif.boot.nocovar.c2","signif.boot.nocovar.c3","signif.boot.nocovar.c4","signif.boot.nocovar.c5","signif.boot.nocovar.c6"
"CARPYC",155,0.0565559245877127,19.1167063033631,151,0.000121464285487653,0.640863927941209,0.00160271825539305,0.0145991209979263,4.67778992168812e-06,0.0434431717504673,-0.269618113671705,1.53890295726746e-06,0.053681745174434,0.0557609820126576,1.55149442959777e-14,0.0842551085475805,0.0762261173310134,29.2435184669407,0.258787106807686,29.2435184669408,-0.337057359111978,-0.46139986432594,-0.974983020465279,0.304132366306069,-1.98148227868601,TRUE,TRUE,TRUE,TRUE,TRUE,-0.163683024403582,-0.435860910318408,-0.990361597588052,0.108250691080058,-1.83765945797525,FALSE,TRUE,TRUE,FALSE,TRUE
"CARTEN",21,0.0852550010672931,3.88041878751321,17,0.00142239261469478,0.0190510434739201,0.267016026228558,0.0274313278550948,4.28096615768188e-06,0.32027504848721,0.186274272183417,0.226218234066499,0.0184627865432419,-0.00596181309912725,0.815004889852527,0.0148325944684693,0.0409513774387175,-0.214720543046028,0.644044538117611,-0.214720543046028,-0.144447085071499,0.420372295169758,NA,NA,NA,FALSE,TRUE,NA,NA,NA,-0.566584457254861,0.108213584636872,NA,NA,NA,FALSE,FALSE,NA,NA,NA
"CERFSV",369,0.00574993256129436,4.65197855948554,365,0.00190743431732986,4.68388901471341e-44,0.117434626033779,0.0216894733854231,3.23705305435973e-36,0.0931796214080771,-0.364782412112835,1.47930767922835e-25,0.046590967755737,0.0282622855965219,3.72264845638136e-07,0.0119675234756782,0.0137566708414487,19.4847793936597,0.28292940951472,19.4847793936597,-0.207056873191629,-0.122435007198319,0.794502648728926,NA,NA,TRUE,FALSE,TRUE,NA,NA,-0.0487719493910133,0.0983086828058017,0.670674324707358,NA,NA,FALSE,FALSE,TRUE,NA,NA
"CERGLO",163,0.00938307978287465,-1.46380289573563,159,0.000972968243717548,1.54911990314384e-06,0.0436966241167145,0.023639274600597,1.59996894843179e-17,0.132832690139056,-0.118671274230226,0.0252541411698764,0.00632361122806205,0.0305324838716702,2.14959277735046e-05,0.0196374128307912,0.0162710310755925,3.33430266614505,0.218761369390216,3.33430266614505,-0.17749190205291,-0.239015238810871,-0.194015256083305,-0.501832309075921,NA,FALSE,FALSE,FALSE,TRUE,NA,-0.0996951844304444,-0.145771642728173,-0.164233705567963,-0.814821271709334,NA,FALSE,FALSE,FALSE,TRUE,NA
"CIRARV",68,0.0660947550116824,19.2881744494293,64,0.000723423880810897,0.0227886531988617,0.0769966311957157,0.0421292728951926,7.70494378209579e-24,0.188394379803781,-0.0767299789791033,0.372526358892345,0.0025612787745606,0.0828791657775963,1.61248489167601e-09,0.124903109538405,0.0467477920573685,11.3005012963834,0.437678493564056,11.3005012963833,-0.204191183809934,0.026066899783531,0.0593943695360215,0.911713933559683,NA,FALSE,FALSE,FALSE,TRUE,NA,-0.179598229219196,0.014684551652493,-0.881403472893887,0.804995480663513,NA,FALSE,FALSE,TRUE,TRUE,NA
"CIRVUL",314,0.0226791357628598,18.2997296220346,310,0.000836164926086363,5.137078499894e-07,0.033104392846068,0.0212797568018509,1.15790147356698e-16,0.0910956287466497,-0.198246747576896,1.82517355327861e-06,0.0155674762208585,0.0447772324921985,9.47164041330752e-16,0.0568470073462021,0.0111193599726209,4.89450197343558,0.207733865132399,4.89450197343558,-0.02835605320778,0.0369982651350525,0.743519047950502,-14.3530870921079,NA,FALSE,FALSE,TRUE,TRUE,NA,-0.0742373882324778,-0.0314388537313118,1.12066211988778,-14.9545116953523,NA,FALSE,FALSE,TRUE,TRUE,NA
"CRECAP",418,0.00569775125561066,5.33428660583195,414,0.00189172212951805,2.74169536818845e-53,0.118053559393464,0.021958514471058,6.25058257422149e-29,0.0646101005621907,-0.330338831907594,1.85006122997572e-25,0.0470501563236137,0.0277284275287533,1.03425514986371e-08,0.0119588100759627,0.0134212988164327,20.698400927588,0.255093925171664,20.698400927588,0.11232014182851,-0.138364906921329,0.0866029210395678,NA,NA,FALSE,FALSE,FALSE,NA,NA,0.168843941400279,0.0882217874922723,0.106120682924194,NA,NA,FALSE,FALSE,FALSE,NA,NA
"CRIMUR",85,0.142853444161825,29.1595053567145,81,0.000617777583693083,0.128336099780001,0.0373136913356068,0.000598753283043421,0.921051515255645,0.0197580610110761,0.11211925040754,0.252219485469796,0.00961372381447626,0.0636308984459129,1.08793618192178e-08,0.147937601009593,0.0930346631925569,15.5030000363312,0.302832255041979,15.5030000363311,-0.269040458630273,-0.517570830208029,-17.1177507928654,-1.56066090879444,-16.6128115841304,FALSE,FALSE,TRUE,TRUE,TRUE,-0.283324767082825,-0.679174416491548,-16.7289739113154,-1.42638881832178,-16.7289739113158,FALSE,TRUE,TRUE,TRUE,TRUE
"CYNCRI",433,0.0304686055405398,51.4759523593802,429,0.00176691937377452,1.15463935697572e-46,0.117366763432614,0.0170678734315138,1.35141716909263e-20,0.0672237812905963,-0.349577860212948,1.33375401521979e-27,0.0464409671895292,0.0291058001625529,4.75672188978538e-09,0.0207501540267255,0.0220905572562325,34.5717164072171,0.273872223195697,34.5717164072175,-0.120258535217854,-0.0179593216609276,-0.367628439888276,-0.313293822793206,-0.538582969166184,FALSE,FALSE,TRUE,TRUE,TRUE,-0.0866796470122635,0.0468517455974742,-0.330442485543263,-0.339168933441212,-0.609927790789908,FALSE,FALSE,TRUE,TRUE,FALSE
"CYNECH",53,0.128747542525533,9.59263606649137,49,0.000445264733501601,0.482828203215859,0.0192785554224908,0.00735991376349482,0.168329322664876,0.0110492672039941,-0.0173392610970828,0.863648497778536,0.00324283934724725,0.0325936455493519,0.0149153945770608,0.0560431550323181,0.118761031741963,8.22803487610668,0.182800239340563,8.22803487610673,0.484079512002261,0.151052551197291,0.286609342055026,0.529744374018339,NA,TRUE,FALSE,FALSE,TRUE,NA,0.477209012967006,0.183096050184938,0.294887456173051,0.62030985660768,NA,TRUE,FALSE,FALSE,TRUE,NA
"DACGLO",500,0.0651781070579283,138.498738244572,496,0.00140293061105741,2.30102626080458e-40,0.109862546503986,0.0208700210936823,5.42927945762498e-44,0.0945686190828054,-0.248252504947442,4.66267612541688e-18,0.0372203376513896,0.0164462662023093,0.000117673748714743,0.0103011559605545,0.0361184942000035,72.2906809985666,0.288071153398739,72.290680998567,0.113341726350063,0.114908588575636,-0.446771030572387,-0.181107636377222,-1.07428136640875,FALSE,FALSE,TRUE,FALSE,TRUE,0.0690131527735724,0.2447949312286,-0.478556227701172,-0.25718415419513,-1.2477316584848,FALSE,TRUE,TRUE,FALSE,TRUE
"DIGPUR",75,0.0133070046999472,0.121386907438364,71,0.00146497451300646,3.84407097445679e-06,0.164909892167556,0.0135764623552373,1.40695572329166e-06,0.0909453144799886,-0.351743884952777,2.50264983217911e-07,0.058504243244775,0.0177053902431931,0.0923764504201371,0.022669073027661,0.0233313185205494,3.22607324879414,0.36035984144053,3.22607324879414,0.292677304320056,0.188950532348895,NA,NA,NA,FALSE,FALSE,NA,NA,NA,0.223994253194521,0.0511514403551097,NA,NA,NA,FALSE,FALSE,NA,NA,NA
