"","SurveyName","SurveyStartYear","SurveyEndYear","PlotName","PlotFK","SpeciesCode","SpeciesName","HeightClassDescription","DominanceClass","DominanceClassDescription","DominanceRank","SpeciesType","domlevels","abun","SpeciesCode.tmp"
"1249","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"CLAAGG","CLADONIA AGGREGATA","No Height Class","A","Abundant",16,"Non-Vascular",2,5,"CLAAGG"
"1256","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"USNEA","USNEA SPECIES","No Height Class","B","Common",23,"Non-Vascular",4,3,"USNEA"
"1262","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"LEPIDZ","LEPIDOZIA SPECIES","No Height Class","A-B","Abundant-Common",29,"Non-Vascular",3,4,"LEPIDZ"
"1264","Banks Peninsula Botanical Survey",1983,1988,"47",94046,"FRUATE","Frullania aterrima (Hook.f. & Taylor) Hook.f. & Taylor","No Height Class","C","Occasional",31,"Non-Vascular",6,1,"FRUATE"
"1412","Banks Peninsula Botanical Survey",1983,1988,"51",94087,"CRYPHA","Cryphaea D.Mohr","No Height Class","C","Occasional",22,"Non-Vascular",6,1,"CRYPHA"
"1432","Banks Peninsula Botanical Survey",1983,1988,"52",94084,"MOULD","Mould","No Height Class","B","Common",8,"Non-Vascular",4,3,"MOULD"
"1598","Banks Peninsula Botanical Survey",1983,1988,"58",95001,"EHRSTI","EHRHARTA STIPOIDES","No Height Class","C","Occasional",28,"Vascular",6,1,"EHRSTI"
"1623","Banks Peninsula Botanical Survey",1983,1988,"59",95006,"STOKES","Stokesiella","No Height Class","C","Occasional",22,"Non-Vascular",6,1,"STOKES"
"1685","Banks Peninsula Botanical Survey",1983,1988,"62",94312,"FISSID","Fissidens Hedw.","No Height Class","C","Occasional",14,"Non-Vascular",6,1,"FISSID"
"1750","Banks Peninsula Botanical Survey",1983,1988,"64",94318,"CAMPYP","Campylopus Brid.","No Height Class","C","Occasional",37,"Non-Vascular",6,1,"CAMPYP"
"1782","Banks Peninsula Botanical Survey",1983,1988,"65",94319,"ACRAUR","Acrocladium auriculatum sensu Sainsbury","No Height Class","B-C","Common-Occasional",21,"Non-Vascular",5,2,"ACRAUR"
"1784","Banks Peninsula Botanical Survey",1983,1988,"65",94319,"THUFUR","THUIDIUM FURFUROSUM","No Height Class","B-C","Common-Occasional",23,"Non-Vascular",5,2,"THUFUR"
"1786","Banks Peninsula Botanical Survey",1983,1988,"65",94319,"RANHIR","RANUNCULUS HIRTUS","No Height Class","B-C","Common-Occasional",25,"Vascular",5,2,"RANHIR"
"1793","Banks Peninsula Botanical Survey",1983,1988,"65",94319,"BREUTE","BREUTELIA SPECIES","No Height Class","C","Occasional",32,"Non-Vascular",6,1,"BREUTE"
"1809","Banks Peninsula Botanical Survey",1983,1988,"65",94319,"LEMDIV","LEMBOPHYLLUM DIVULSUM","No Height Class","C","Occasional",48,"Non-Vascular",6,1,"LEMDIV"
"1820","Banks Peninsula Botanical Survey",1983,1988,"66",94320,"HOMFAL","Homalia falcifolia (Hook.f. & Wilson) Hook.f. & Wilson","No Height Class","B","Common",11,"Non-Vascular",4,3,"HOMFAL"
"1844","Banks Peninsula Botanical Survey",1983,1988,"67",94321,"TRIPAP","Triquetrella papillata (Hook.f. & Wilson) Broth.","No Height Class","C","Occasional",8,"Non-Vascular",6,1,"TRIPAP"
"1852","Banks Peninsula Botanical Survey",1983,1988,"67",94321,"RACCRI","RACOMITRIUM CRISPULUM","No Height Class","C","Occasional",16,"Non-Vascular",6,1,"RACCRI"
"1950","Banks Peninsula Botanical Survey",1983,1988,"70",94224,"LOPSEM","Lophocolea semiteres (Lehm.) Mitt.","No Height Class","B-C","Common-Occasional",21,"Non-Vascular",5,2,"LOPSEM"
"2041","Banks Peninsula Botanical Survey",1983,1988,"72",94089,"CERPUR","CERATODON PURPUREUS","No Height Class","C","Occasional",36,"Non-Vascular",6,1,"CERPUR"
"2180","Banks Peninsula Botanical Survey",1983,1988,"76",95004,"SEMATO","Sematophyllum Mitt.","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"SEMATO"
"2210","Banks Peninsula Botanical Survey",1983,1988,"78",94505,"TRENTE","Trentepohlia","No Height Class","C","Occasional",7,"Non-Vascular",6,1,"TRENTE"
"2337","Banks Peninsula Botanical Survey",1983,1988,"82",94029,"WEICON","WEISSIA CONTROVERSA","No Height Class","B-C","Common-Occasional",19,"Non-Vascular",5,2,"WEICON"
"2357","Banks Peninsula Botanical Survey",1983,1988,"83",94028,"POAMVT","Poa matthewsii var. tenuis Petrie","No Height Class","B-C","Common-Occasional",15,"Vascular",5,2,"POAMVT"
"2402","Banks Peninsula Botanical Survey",1983,1988,"84",94317,"THUIDI","THUIDIUM SPECIES","No Height Class","B","Common",30,"Non-Vascular",4,3,"THUIDI"
"2416","Banks Peninsula Botanical Survey",1983,1988,"84",94317,"CLASUB","Cladonia subulata (L.) Weber ex Wigg.","No Height Class","C","Occasional",44,"Non-Vascular",6,1,"CLASUB"
"2507","Banks Peninsula Botanical Survey",1983,1988,"89",94037,"LUNCRU","Lunularia cruciata (L.) Dumort.","No Height Class","A-B","Abundant-Common",3,"Non-Vascular",3,4,"LUNCRU"
"2522","Banks Peninsula Botanical Survey",1983,1988,"90",94038,"NOSPEC","NO SPECIES ON PLOT","No Height Class","N/A","No Dominance Class",NA,"",NA,NA,"NOSPEC"
"2540","Banks Peninsula Botanical Survey",1983,1988,"91",95098,"XANPAR","Xanthoria parietina (L.) Th.Fr.","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"XANPAR"
"2725","Banks Peninsula Botanical Survey",1983,1988,"99",94325,"LOBARI","Lobaria (Schreb.) Hoffm.","No Height Class","C","Occasional",39,"Non-Vascular",6,1,"LOBARI"
"2726","Banks Peninsula Botanical Survey",1983,1988,"99",94325,"PELTIG","PELTIGERA SPECIES","No Height Class","C","Occasional",40,"Non-Vascular",6,1,"PELTIG"
"2747","Banks Peninsula Botanical Survey",1983,1988,"100",94558,"EURPRA","Eurhynchium praelongum (Hedw.) Hook.","No Height Class","B-C","Common-Occasional",16,"Non-Vascular",5,2,"EURPRA"
"2769","Banks Peninsula Botanical Survey",1983,1988,"101",94559,"COPPXR","Coprosma propinqua × robusta","No Height Class","C","Occasional",14,"Vascular",6,1,"COPPXR"
"2879","Banks Peninsula Botanical Survey",1983,1988,"105",95263,"DICRAW","Dicranoweisia Milde","No Height Class","C","Occasional",29,"Non-Vascular",6,1,"DICRAW"
"2903","Banks Peninsula Botanical Survey",1983,1988,"106",95264,"RHIZOC","RHIZOCARPON SPECIES","No Height Class","C","Occasional",19,"Non-Vascular",6,1,"RHIZOC"
"3020","Banks Peninsula Botanical Survey",1983,1988,"111",94033,"RACOMI","RACOMITRIUM SPECIES","No Height Class","C","Occasional",24,"Non-Vascular",6,1,"RACOMI"
"3025","Banks Peninsula Botanical Survey",1983,1988,"111",94033,"SOLBVG","Solenogyne bellioides var. gunnii (Hook.f.) G.L.R.Davis","No Height Class","C","Occasional",29,"Vascular",6,1,"SOLBVG"
"3080","Banks Peninsula Botanical Survey",1983,1988,"114",95279,"GRACLR","Gracilaria","No Height Class","N/A","No Dominance Class",1,"Non-Vascular",NA,NA,"GRACLR"
"3106","Banks Peninsula Botanical Survey",1983,1988,"116",94564,"RINODI","Rinodina (Ach.) Gray","No Height Class","B-C","Common-Occasional",9,"Non-Vascular",5,2,"RINODI"
"3122","Banks Peninsula Botanical Survey",1983,1988,"117",94565,"HORBAN","Hormosira banksii (Turner) Decne.","No Height Class","A-B","Abundant-Common",1,"Non-Vascular",3,4,"HORBAN"
"3123","Banks Peninsula Botanical Survey",1983,1988,"117",94565,"MACPYR","Macrocystis pyrifera (L.) C.Agardh ","No Height Class","C","Occasional",2,"Non-Vascular",6,1,"MACPYR"
