"","SurveyName","SurveyStartYear","SurveyEndYear","PlotName","PlotFK","SpeciesCode","SpeciesName","HeightClassDescription","DominanceClass","DominanceClassDescription","DominanceRank","SpeciesType","domlevels","abun","SpeciesCode.tmp"
"28673","Banks Peninsula Botanical Survey",1983,1988,"1017",94443,"LEPIDO","LEPIDOSPERMA SPECIES","No Height Class","C","Occasional",25,"Non-Vascular",6,1,"LEPIDO"
"28761","Banks Peninsula Botanical Survey",1983,1988,"1019",94395,"DRADIE","DRAPETES DIEFFENBACHII","No Height Class","C","Occasional",30,"Vascular",6,1,"DRADIE"
"28892","Banks Peninsula Botanical Survey",1983,1988,"1023",94406,"COPDIS","Coprinus disseminatus (Pers.) Gray","No Height Class","C","Occasional",14,"Non-Vascular",6,1,"COPDIS"
"29431","Banks Peninsula Botanical Survey",1983,1988,"1041",95185,"BRAALB","BRACHYTHECIUM ALBICANS","No Height Class","C","Occasional",27,"Non-Vascular",6,1,"BRAALB"
"29561","Banks Peninsula Botanical Survey",1983,1988,"1045",94962,"MEGARA","Megaceros arachnoideus Steph.","No Height Class","C","Occasional",18,"Non-Vascular",6,1,"MEGARA"
"29644","Banks Peninsula Botanical Survey",1983,1988,"1047",94447,"SYMHYM","Symphyogyna hymenophyllum (Hook.) Mont. & Nees","No Height Class","C","Occasional",15,"Non-Vascular",6,1,"SYMHYM"
"30041","Banks Peninsula Botanical Survey",1983,1988,"1062",94135,"PARSON","PARSONSIA SPECIES","No Height Class","B","Common",12,"Non-Vascular",4,3,"PARSON"
"30326","Banks Peninsula Botanical Survey",1983,1988,"1071",95151,"ISOLIM","ISOPTERYGIUM LIMATUM","No Height Class","C","Occasional",65,"Non-Vascular",6,1,"ISOLIM"
"30687","Banks Peninsula Botanical Survey",1983,1988,"1082",94398,"BRACHY","BRACHYSCOME SPECIES","No Height Class","B","Common",14,"Non-Vascular",4,3,"BRACHY"
"30851","Banks Peninsula Botanical Survey",1983,1988,"1089",94331,"DACRYM","Dacrymyces Nees","No Height Class","C","Occasional",24,"Non-Vascular",6,1,"DACRYM"
"30961","Banks Peninsula Botanical Survey",1983,1988,"1092",94148,"RACSTM","Racopilum strumiferum (Müll.Hal.) Mitt.","No Height Class","B-C","Common-Occasional",25,"Non-Vascular",5,2,"RACSTM"
"31256","Banks Peninsula Botanical Survey",1983,1988,"1103",94954,"PSEFLA","Pseudocyphellaria flavicans","No Height Classes","B","Common",45,"Non-Vascular",4,3,"PSEFLA"
"32103","Banks Peninsula Botanical Survey",1983,1988,"1130",94953,"BRAROB","Brachythecium robustum (Schimp.) Loeske","No Height Class","C","Occasional",33,"Non-Vascular",6,1,"BRAROB"
"32651","Banks Peninsula Botanical Survey",1983,1988,"1145",94214,"TONBUL","Toninia bullata (Meyen & Flot.) Zahlbr.","No Height Class","B-C","Common-Occasional",35,"Non-Vascular",5,2,"TONBUL"
"32663","Banks Peninsula Botanical Survey",1983,1988,"1145",94214,"POA","POA SPECIES","No Height Class","C","Occasional",47,"Vascular",6,1,"POA"
"32668","Banks Peninsula Botanical Survey",1983,1988,"1145",94214,"DICBIL","DICRANUM BILLARDIEREI","No Height Class","C","Occasional",52,"Non-Vascular",6,1,"DICBIL"
"32815","Banks Peninsula Botanical Survey",1983,1988,"1150",95125,"TORTEN","Tortula tenella Broth.","No Height Class","C","Occasional",21,"Non-Vascular",6,1,"TORTEN"
"33296","Banks Peninsula Botanical Survey",1983,1988,"1165",94759,"ULOVIR","Ulota viridis Venturi","No Height Class","C","Occasional",20,"Non-Vascular",6,1,"ULOVIR"
"33365","Banks Peninsula Botanical Survey",1983,1988,"1166",94762,"PAPFLA","PAPILLARIA FLAVO-LIMBATA","No Height Class","C","Occasional",57,"Non-Vascular",6,1,"PAPFLA"
"33560","Banks Peninsula Botanical Survey",1983,1988,"1173",94128,"DEYEUX","DEYEUXIA SPECIES","No Height Class","B-C","Common-Occasional",10,"Vascular",5,2,"DEYEUX"
"35031","Banks Peninsula Botanical Survey",1983,1988,"1216",94114,"LEJEUN","LEJEUNEA SPECIES","No Height Class","A-B","Abundant-Common",6,"Non-Vascular",3,4,"LEJEUN"
"35457","Banks Peninsula Botanical Survey",1983,1988,"1229",94632,"RAMCEL","Ramalina celastri (Spreng.) Krog & Swinscow","No Height Class","C","Occasional",38,"Non-Vascular",6,1,"RAMCEL"
"36267","Banks Peninsula Botanical Survey",1983,1988,"1264",94908,"RACLAN","RACOMITRIUM LANUGINOSUM","No Height Class","C","Occasional",26,"Non-Vascular",6,1,"RACLAN"
"36324","Banks Peninsula Botanical Survey",1983,1988,"1266",94895,"HYPHOO","Hypoxis hookeri Geerinck","No Height Class","C","Occasional",22,"Vascular",6,1,"HYPHOO"
"36379","Banks Peninsula Botanical Survey",1983,1988,"1269",94905,"APHAUS","Aphanes australiana (Rothm.) Rothm.","No Height Class","C","Occasional",17,"Vascular",6,1,"APHAUS"
"36411","Banks Peninsula Botanical Survey",1983,1988,"1270",94904,"MUEAXI","MUEHLENBECKIA AXILLARIS","No Height Class","C","Occasional",18,"Vascular",6,1,"MUEAXI"
"36447","Banks Peninsula Botanical Survey",1983,1988,"1271",95219,"RAOMON","RAOULIA MONROI","No Height Class","B-C","Common-Occasional",23,"Vascular",5,2,"RAOMON"
"36525","Banks Peninsula Botanical Survey",1983,1988,"1274",95216,"RAOAUS","RAOULIA AUSTRALIS","No Height Class","C","Occasional",20,"Vascular",6,1,"RAOAUS"
"36557","Banks Peninsula Botanical Survey",1983,1988,"1275",95215,"VULMEG","VULPIA MYUROS VAR. MEGALURA","No Height Class","C","Occasional",19,"Vascular",6,1,"VULMEG"
"36579","Banks Peninsula Botanical Survey",1983,1988,"1276",95214,"ACAGLA","ACAENA GLABRA","No Height Class","B-C","Common-Occasional",16,"Vascular",5,2,"ACAGLA"
"36657","Banks Peninsula Botanical Survey",1983,1988,"1279",94844,"PLEURI","Pleuridium Rabenh.","No Height Class","C","Occasional",11,"Non-Vascular",6,1,"PLEURI"
"36766","Banks Peninsula Botanical Survey",1983,1988,"1282",94882,"MUEEPH","MUEHLENBECKIA EPHEDROIDES","No Height Class","C","Occasional",28,"Vascular",6,1,"MUEEPH"
"36876","Banks Peninsula Botanical Survey",1983,1988,"1286",94983,"ISOBAS","Isolepis basilaris Hook.f.","No Height Class","B","Common",4,"Vascular",4,3,"ISOBAS"
"36886","Banks Peninsula Botanical Survey",1983,1988,"1286",94983,"CHEGLA","CHENOPODIUM GLAUCUM","No Height Class","B-C","Common-Occasional",14,"Vascular",5,2,"CHEGLA"
"36887","Banks Peninsula Botanical Survey",1983,1988,"1286",94983,"LACFIL","LACHNAGROSTIS FILIFORMIS","No Height Class","C","Occasional",15,"Vascular",6,1,"LACFIL"
"36888","Banks Peninsula Botanical Survey",1983,1988,"1286",94983,"TRISTA","TRIGLOCHIN STRIATUM","No Height Class","C","Occasional",16,"Vascular",6,1,"TRISTA"
"36918","Banks Peninsula Botanical Survey",1983,1988,"1288",94981,"ERYVES","ERYNGIUM VESICULOSUM","No Height Class","B","Common",5,"Vascular",4,3,"ERYVES"
"36958","Banks Peninsula Botanical Survey",1983,1988,"1289",94980,"GYPAUS","Gypsophila australis (Schltdl.) A.Gray","No Height Class","C","Occasional",19,"Vascular",6,1,"GYPAUS"
"36984","Banks Peninsula Botanical Survey",1983,1988,"1290",95213,"ACABUC","ACAENA BUCHANANII","No Height Class","B-C","Common-Occasional",12,"Vascular",5,2,"ACABUC"
"37003","Banks Peninsula Botanical Survey",1983,1988,"1291",95212,"CARAPP","CAREX APPRESSA","No Height Class","B","Common",8,"Vascular",4,3,"CARAPP"
"37035","Banks Peninsula Botanical Survey",1983,1988,"1292",95211,"CONWAI","CONVOLVULUS VERECUNDUS SUBSP. WAITAHA","No Height Class","C","Occasional",11,"Vascular",6,1,"CONWAI"
"37197","Banks Peninsula Botanical Survey",1983,1988,"1300",94893,"ZOYMIN","ZOYSIA MINIMA","No Height Class","A","Abundant",1,"Vascular",2,5,"ZOYMIN"
"37202","Banks Peninsula Botanical Survey",1983,1988,"1300",94893,"DESSPI","DESMOSCHOENUS SPIRALIS","No Height Class","C","Occasional",6,"Vascular",6,1,"DESSPI"
"37250","Banks Peninsula Botanical Survey",1983,1988,"1303",94591,"RYTMAC","Rytidosperma maculatum (Zotov) Connor & Edgar","No Height Class","C","Occasional",17,"Vascular",6,1,"RYTMAC"
"37262","Banks Peninsula Botanical Survey",1983,1988,"1305",94588,"GLAFLA","Glaucium flavum Crantz","No Height Class","C","Occasional",4,"Vascular",6,1,"GLAFLA"
"37263","Banks Peninsula Botanical Survey",1983,1988,"1305",94588,"XANFLA","Xanthoparmelia flavescentireagens (Gyeln.) D.J.Galloway","No Height Class","C","Occasional",5,"Non-Vascular",6,1,"XANFLA"
"37273","Banks Peninsula Botanical Survey",1983,1988,"1307",94967,"POTANS","POTENTILLA ANSERINOIDES","No Height Class","B","Common",9,"Vascular",4,3,"POTANS"
"37375","Banks Peninsula Botanical Survey",1983,1988,"1311",94977,"SOLTUB","SOLANUM TUBEROSUM","No Height Class","D","Dominant",1,"Vascular",1,6,"SOLTUB"
"37427","Banks Peninsula Botanical Survey",1983,1988,"1314",95205,"STIPA","STIPA SPECIES","No Height Class","B-C","Common-Occasional",16,"Vascular",5,2,"STIPA"
"37475","Banks Peninsula Botanical Survey",1983,1988,"1317",95208,"CALSOL","CALYSTEGIA SOLDANELLA","No Height Class","B","Common",5,"Vascular",4,3,"CALSOL"
"37498","Banks Peninsula Botanical Survey",1983,1988,"1319",94965,"HAICYL","Hainardia cylindrica (Willd.) Greuter","No Height Class","C","Occasional",10,"Vascular",6,1,"HAICYL"
"37541","Banks Peninsula Botanical Survey",1983,1988,"1321",94972,"PIMURV","PIMELEA URVILLEANA","No Height Class","B","Common",1,"Vascular",4,3,"PIMURV"
"37565","Banks Peninsula Botanical Survey",1983,1988,"1322",94973,"CARPUM","CAREX PUMILA","No Height Class","B-C","Common-Occasional",8,"Vascular",5,2,"CARPUM"
"37627","Banks Peninsula Botanical Survey",1983,1988,"1327",94715,"POTPEC","Potamogeton pectinatus L.","No Height Class","A","Abundant",1,"Vascular",2,5,"POTPEC"
"37629","Banks Peninsula Botanical Survey",1983,1988,"1328",94714,"LAMPAP","Lamprothamnium papulosum (Wallr.) R.D. Wood","No Height Class","A","Abundant",2,"Vascular",2,5,"LAMPAP"
"37630","Banks Peninsula Botanical Survey",1983,1988,"1328",94714,"MYRTRI","Myriophyllum triphyllum Orchard","No Height Class","B","Common",3,"Vascular",4,3,"MYRTRI"
"37631","Banks Peninsula Botanical Survey",1983,1988,"1328",94714,"LEPBIL","Lepilaena bilocularis Kirk","No Height Class","B-C","Common-Occasional",4,"Vascular",5,2,"LEPBIL"
"37632","Banks Peninsula Botanical Survey",1983,1988,"1328",94714,"ZANPAL","Zannichellia palustris L.","No Height Class","B-C","Common-Occasional",5,"Vascular",5,2,"ZANPAL"
"37633","Banks Peninsula Botanical Survey",1983,1988,"1328",94714,"RANLIM","Ranunculus limosella Kirk","No Height Class","B-C","Common-Occasional",6,"Vascular",5,2,"RANLIM"
"37642","Banks Peninsula Botanical Survey",1983,1988,"1333",95222,"ENTERO","Enteromorpha","No Height Class","B-C","Common-Occasional",1,"Non-Vascular",5,2,"ENTERO"
"37646","Banks Peninsula Botanical Survey",1983,1988,"1333",95222,"RUPMEG","Ruppia megacarpa R.Mason","No Height Class","B-C","Common-Occasional",5,"Vascular",5,2,"RUPMEG"
"37661","Banks Peninsula Botanical Survey",1983,1988,"1334",95223,"PUCDIS","Puccinellia distans (L.) Parl.","No Height Class","C","Occasional",12,"Vascular",6,1,"PUCDIS"
"37681","Banks Peninsula Botanical Survey",1983,1988,"1336",94911,"POLHYD","POLYGONUM HYDROPIPER","No Height Class","C","Occasional",13,"Vascular",6,1,"POLHYD"
"37716","Banks Peninsula Botanical Survey",1983,1988,"1340",94918,"CHAROP","Charophyte","No Height Class","C","Occasional",6,"Non-Vascular",6,1,"CHAROP"
"37727","Banks Peninsula Botanical Survey",1983,1988,"ARMS1",94586,"LIBBID","LIBOCEDRUS BIDWILLII","No Height Class","C","Occasional",11,"Vascular",6,1,"LIBBID"
"37733","Banks Peninsula Botanical Survey",1983,1988,"ARMS1",94586,"UNCCLA","UNCINIA CLAVATA","No Height Class","C","Occasional",17,"Vascular",6,1,"UNCCLA"
"37745","Banks Peninsula Botanical Survey",1983,1988,"ARMS1",94586,"HYMSAN","HYMENOPHYLLUM SANGUINOLENTUM","No Height Class","B","Common",29,"Vascular",4,3,"HYMSAN"
"37760","Banks Peninsula Botanical Survey",1983,1988,"ARMS1",94586,"GRABIL","GRAMMITIS BILLARDIEREI","No Height Class","C","Occasional",44,"Vascular",6,1,"GRABIL"
"37777","Banks Peninsula Botanical Survey",1983,1988,"ARMS1",94586,"PSEIMP","Pseudocyphellaria implicata","No Height Class","C","Occasional",61,"Non-Vascular",6,1,"PSEIMP"
